time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-04-01T01:00:00+00:00,15.52,15.52,28.75,28.75,0.45,0.45,82.43,82.43,0.01,0.01,-0.27,-0.27,344.05,344.05,0.18,0.18,14.72,14.72,345.42,353.5,348.04,353.5,1.41,0.89,0.18,0.89,8.36,5.69,13.96,5.69,26.54,20.04,26.54,7.31,5.56,7.31
2022-04-01T02:00:00+00:00,15.25,15.25,29.55,29.55,0.45,0.45,80.37,80.37,0.01,0.01,-0.27,-0.27,348.93,348.93,0.18,0.18,14.62,14.62,346.65,354.37,343.14,354.37,1.44,0.92,0.18,0.92,8.28,5.69,14.22,5.69,26.81,24.15,26.81,7.1,5.56,7.1
2022-04-01T03:00:00+00:00,14.98,14.98,30.18,30.18,0.44,0.44,78.3,78.3,0.01,0.01,-0.27,-0.27,353.82,353.82,0.19,0.19,14.51,14.51,347.89,355.25,338.23,355.25,1.46,0.95,0.19,0.95,8.2,5.68,14.49,5.68,27.08,28.26,27.08,6.89,5.57,6.89
2022-04-01T04:00:00+00:00,14.94,14.94,30.53,30.53,0.43,0.43,77.03,77.03,0.01,0.01,-0.27,-0.27,353.56,353.56,0.2,0.2,14.45,14.45,347.41,356.46,338.28,356.46,1.45,0.98,0.19,0.98,8.24,5.64,14.38,5.64,29.89,28.17,29.89,6.93,5.74,6.93
2022-04-01T05:00:00+00:00,14.9,14.9,31.09,31.09,0.42,0.42,75.77,75.77,0.01,0.01,-0.27,-0.27,353.29,353.29,0.2,0.2,14.4,14.4,346.93,357.66,338.32,357.66,1.45,1.0,0.19,1.0,8.29,5.61,14.26,5.61,32.69,28.09,32.69,6.97,5.92,6.97
2022-04-01T06:00:00+00:00,14.86,14.86,31.57,31.57,0.41,0.41,74.5,74.5,0.0,0.0,-0.26,-0.26,353.03,353.03,0.21,0.21,14.34,14.34,346.45,358.87,338.37,358.87,1.44,1.03,0.19,1.03,8.33,5.57,14.15,5.57,35.5,28.0,35.5,7.01,6.09,7.01
2022-04-01T07:00:00+00:00,15.33,15.33,31.96,31.96,0.41,0.41,71.53,71.53,0.0,0.0,-0.26,-0.26,353.15,353.15,0.21,0.21,14.12,14.12,346.61,358.41,338.51,358.41,1.43,1.03,0.19,1.03,8.37,5.54,14.13,5.54,33.78,30.09,33.78,7.08,5.96,7.08
2022-04-01T08:00:00+00:00,15.81,15.81,32.07,32.07,0.41,0.41,68.57,68.57,0.0,0.0,-0.26,-0.26,353.27,353.27,0.22,0.22,13.9,13.9,346.77,357.95,338.65,357.95,1.42,1.02,0.2,1.02,8.4,5.52,14.1,5.52,32.07,32.17,32.07,7.15,5.83,7.15
2022-04-01T09:00:00+00:00,16.28,16.28,32.11,32.11,0.4,0.4,65.6,65.6,0.0,0.0,-0.26,-0.26,353.39,353.39,0.22,0.22,13.68,13.68,346.93,357.49,338.79,357.49,1.41,1.02,0.2,1.02,8.44,5.49,14.08,5.49,30.35,34.26,30.35,7.22,5.7,7.22
2022-04-01T10:00:00+00:00,17.21,17.21,32.29,32.29,0.4,0.4,62.53,62.53,0.0,0.0,-0.26,-0.26,352.47,352.47,0.25,0.25,13.63,13.63,347.87,0.83,302.75,0.83,1.41,1.08,0.17,1.08,8.4,5.46,13.42,5.46,31.49,32.61,31.49,7.12,5.7,7.12
2022-04-01T11:00:00+00:00,18.14,18.14,32.23,32.23,0.4,0.4,59.47,59.47,0.0,0.0,-0.26,-0.26,351.56,351.56,0.28,0.28,13.58,13.58,348.8,4.16,266.7,4.16,1.42,1.14,0.13,1.14,8.36,5.43,12.77,5.43,32.63,30.97,32.63,7.03,5.7,7.03
2022-04-01T12:00:00+00:00,19.06,19.06,32.35,32.35,0.39,0.39,56.4,56.4,0.0,0.0,-0.26,-0.26,350.64,350.64,0.31,0.31,13.53,13.53,349.74,7.5,230.66,7.5,1.42,1.2,0.1,1.2,8.32,5.4,12.11,5.4,33.77,29.32,33.77,6.93,5.7,6.93
2022-04-01T13:00:00+00:00,19.05,19.05,32.61,32.61,0.39,0.39,57.3,57.3,0.0,0.0,-0.26,-0.26,351.18,351.18,0.31,0.31,13.41,13.41,350.04,7.97,243.95,7.97,1.4,1.19,0.11,1.19,8.38,5.42,12.31,5.42,29.73,23.05,29.73,7.11,6.33,7.11
2022-04-01T14:00:00+00:00,19.03,19.03,32.91,32.91,0.38,0.38,58.2,58.2,0.0,0.0,-0.26,-0.26,351.73,351.73,0.31,0.31,13.29,13.29,350.34,8.45,257.24,8.45,1.38,1.19,0.12,1.19,8.43,5.45,12.51,5.45,25.7,16.78,25.7,7.29,6.97,7.29
2022-04-01T15:00:00+00:00,19.02,19.02,32.65,32.65,0.38,0.38,59.1,59.1,0.0,0.0,-0.26,-0.26,352.27,352.27,0.31,0.31,13.17,13.17,350.64,8.92,270.53,8.92,1.36,1.18,0.13,1.18,8.49,5.47,12.71,5.47,21.66,10.51,21.66,7.47,7.6,7.47
2022-04-01T16:00:00+00:00,18.55,18.55,31.66,31.66,0.39,0.39,60.5,60.5,0.0,0.0,-0.26,-0.26,351.17,351.17,0.32,0.32,13.03,13.03,350.27,8.53,251.46,8.53,1.35,1.15,0.11,1.15,8.5,5.51,12.36,5.51,22.5,12.36,22.5,7.51,7.47,7.51
2022-04-01T17:00:00+00:00,18.08,18.08,30.87,30.87,0.39,0.39,61.9,61.9,0.0,0.0,-0.26,-0.26,350.06,350.06,0.34,0.34,12.88,12.88,349.91,8.13,232.38,8.13,1.33,1.12,0.08,1.12,8.52,5.56,12.0,5.56,23.33,14.21,23.33,7.54,7.33,7.54
2022-04-01T18:00:00+00:00,17.62,17.62,30.51,30.51,0.4,0.4,63.3,63.3,0.0,0.0,-0.26,-0.26,348.96,348.96,0.35,0.35,12.74,12.74,349.54,7.74,213.31,7.74,1.32,1.09,0.06,1.09,8.53,5.6,11.65,5.6,24.17,16.06,24.17,7.58,7.2,7.58
2022-04-01T19:00:00+00:00,17.14,17.14,30.26,30.26,0.4,0.4,65.97,65.97,0.0,0.0,-0.26,-0.26,349.14,349.14,0.35,0.35,12.71,12.71,351.53,8.24,213.43,8.24,1.35,1.09,0.06,1.09,8.32,5.58,11.63,5.58,26.84,18.38,26.84,7.04,6.74,7.04
2022-04-01T20:00:00+00:00,16.66,16.66,30.35,30.35,0.4,0.4,68.63,68.63,0.0,0.0,-0.26,-0.26,349.33,349.33,0.36,0.36,12.67,12.67,353.51,8.73,213.56,8.73,1.38,1.09,0.06,1.09,8.1,5.57,11.62,5.57,29.52,20.71,29.52,6.51,6.29,6.51
2022-04-01T21:00:00+00:00,16.18,16.18,30.78,30.78,0.39,0.39,71.3,71.3,0.0,0.0,-0.26,-0.26,349.51,349.51,0.36,0.36,12.64,12.64,355.5,9.23,213.68,9.23,1.41,1.09,0.06,1.09,7.89,5.55,11.6,5.55,32.19,23.03,32.19,5.97,5.83,5.97
