time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-05-01T01:00:00+00:00,16.6,16.6,25.93,25.93,0.35,0.35,86.97,86.97,0.0,0.0,-0.24,-0.24,208.91,208.91,0.07,0.07,13.47,13.47,325.16,284.24,283.97,284.24,1.54,1.12,0.83,1.12,8.53,9.82,10.81,9.82,16.07,13.02,16.07,5.72,4.63,5.72
2022-05-01T02:00:00+00:00,16.36,16.36,26.61,26.61,0.34,0.34,88.53,88.53,0.0,0.0,-0.24,-0.24,208.8,208.8,0.06,0.06,13.41,13.41,324.55,284.17,283.76,284.17,1.55,1.1,0.83,1.1,8.5,9.85,10.76,9.85,20.77,17.73,20.77,5.69,4.68,5.69
2022-05-01T03:00:00+00:00,16.11,16.11,27.24,27.24,0.35,0.35,90.1,90.1,0.0,0.0,-0.24,-0.24,208.7,208.7,0.06,0.06,13.35,13.35,323.95,284.1,283.56,284.1,1.56,1.09,0.83,1.09,8.47,9.89,10.7,9.89,25.48,22.45,25.48,5.65,4.72,5.65
2022-05-01T04:00:00+00:00,15.93,15.93,27.78,27.78,0.35,0.35,89.33,89.33,0.0,0.0,-0.24,-0.24,208.77,208.77,0.06,0.06,13.32,13.32,324.51,310.82,283.47,310.82,1.57,1.1,0.83,1.1,8.41,8.31,10.72,8.31,27.0,25.85,27.0,5.47,4.17,5.47
2022-05-01T05:00:00+00:00,15.75,15.75,28.31,28.31,0.35,0.35,88.57,88.57,0.0,0.0,-0.24,-0.24,208.84,208.84,0.06,0.06,13.28,13.28,325.06,337.55,283.37,337.55,1.57,1.1,0.82,1.1,8.36,6.74,10.74,6.74,28.52,29.24,28.52,5.29,3.63,5.29
2022-05-01T06:00:00+00:00,15.57,15.57,29.07,29.07,0.35,0.35,87.8,87.8,0.0,0.0,-0.24,-0.24,208.91,208.91,0.06,0.06,13.25,13.25,325.62,4.27,283.28,4.27,1.58,1.11,0.82,1.11,8.3,5.16,10.76,5.16,30.04,32.64,30.04,5.11,3.08,5.11
2022-05-01T07:00:00+00:00,17.02,17.02,29.71,29.71,0.35,0.35,77.5,77.5,0.0,0.0,-0.24,-0.24,208.76,208.76,0.06,0.06,13.24,13.24,325.51,351.26,283.3,351.26,1.57,1.09,0.82,1.09,8.28,5.87,10.74,5.87,29.85,34.28,29.85,5.08,3.89,5.08
2022-05-01T08:00:00+00:00,18.47,18.47,30.37,30.37,0.35,0.35,67.2,67.2,0.0,0.0,-0.24,-0.24,208.61,208.61,0.05,0.05,13.23,13.23,325.39,338.26,283.31,338.26,1.57,1.06,0.81,1.06,8.27,6.59,10.72,6.59,29.67,35.92,29.67,5.04,4.69,5.04
2022-05-01T09:00:00+00:00,19.92,19.92,31.28,31.28,0.34,0.34,56.9,56.9,0.0,0.0,-0.24,-0.24,208.46,208.46,0.05,0.05,13.22,13.22,325.28,325.25,283.33,325.25,1.56,1.04,0.81,1.04,8.25,7.3,10.7,7.3,29.48,37.56,29.48,5.01,5.5,5.01
2022-05-01T10:00:00+00:00,21.06,21.06,32.4,32.4,0.33,0.33,51.47,51.47,0.0,0.0,-0.24,-0.24,208.36,208.36,0.05,0.05,13.23,13.23,324.08,311.79,283.41,311.79,1.54,1.02,0.81,1.02,8.29,7.96,10.67,7.96,28.04,35.53,28.04,5.25,5.76,5.25
2022-05-01T11:00:00+00:00,22.21,22.21,33.24,33.24,0.32,0.32,46.03,46.03,0.0,0.0,-0.24,-0.24,208.25,208.25,0.05,0.05,13.23,13.23,322.88,298.34,283.5,298.34,1.51,1.01,0.8,1.01,8.34,8.61,10.63,8.61,26.59,33.49,26.59,5.5,6.02,5.5
2022-05-01T12:00:00+00:00,23.35,23.35,33.24,33.24,0.32,0.32,40.6,40.6,0.0,0.0,-0.24,-0.24,208.15,208.15,0.05,0.05,13.24,13.24,321.68,284.88,283.58,284.88,1.49,0.99,0.8,0.99,8.38,9.27,10.6,9.27,25.15,31.46,25.15,5.74,6.28,5.74
2022-05-01T13:00:00+00:00,23.3,23.3,32.55,32.55,0.32,0.32,42.03,42.03,0.0,0.0,-0.24,-0.24,208.07,208.07,0.05,0.05,13.25,13.25,319.71,284.93,283.69,284.93,1.46,0.98,0.79,0.98,8.47,9.22,10.56,9.22,21.47,27.3,21.47,6.16,6.22,6.16
2022-05-01T14:00:00+00:00,23.25,23.25,31.44,31.44,0.32,0.32,43.47,43.47,0.0,0.0,-0.24,-0.24,207.99,207.99,0.05,0.05,13.26,13.26,317.73,284.99,283.81,284.99,1.43,0.97,0.78,0.97,8.57,9.18,10.52,9.18,17.8,23.13,17.8,6.58,6.15,6.58
2022-05-01T15:00:00+00:00,23.2,23.2,30.02,30.02,0.33,0.33,44.9,44.9,0.0,0.0,-0.24,-0.24,207.91,207.91,0.05,0.05,13.27,13.27,315.76,285.04,283.92,285.04,1.4,0.96,0.77,0.96,8.66,9.13,10.48,9.13,14.12,18.97,14.12,7.0,6.09,7.0
2022-05-01T16:00:00+00:00,22.38,22.38,28.26,28.26,0.34,0.34,47.3,47.3,0.0,0.0,-0.24,-0.24,207.94,207.94,0.05,0.05,13.27,13.27,313.92,285.1,284.07,285.1,1.37,0.95,0.76,0.95,8.72,9.09,10.44,9.09,14.17,18.92,14.17,7.23,6.37,7.23
2022-05-01T17:00:00+00:00,21.56,21.56,26.87,26.87,0.36,0.36,49.7,49.7,0.0,0.0,-0.24,-0.24,207.97,207.97,0.05,0.05,13.27,13.27,312.09,285.16,284.21,285.16,1.35,0.94,0.75,0.94,8.78,9.05,10.41,9.05,14.21,18.86,14.21,7.46,6.66,7.46
2022-05-01T18:00:00+00:00,20.73,20.73,26.35,26.35,0.37,0.37,52.1,52.1,0.0,0.0,-0.24,-0.24,208.0,208.0,0.05,0.05,13.27,13.27,310.25,285.22,284.36,285.22,1.32,0.93,0.74,0.93,8.84,9.01,10.37,9.01,14.26,18.81,14.26,7.69,6.94,7.69
2022-05-01T19:00:00+00:00,19.82,19.82,26.15,26.15,0.38,0.38,57.47,57.47,0.0,0.0,-0.24,-0.24,208.08,208.08,0.05,0.05,13.26,13.26,315.2,285.32,284.51,285.32,1.35,0.92,0.73,0.92,8.57,8.97,10.34,8.97,16.43,20.37,16.43,7.25,6.67,7.25
2022-05-01T20:00:00+00:00,18.9,18.9,26.36,26.36,0.39,0.39,62.83,62.83,0.0,0.0,-0.24,-0.24,208.16,208.16,0.05,0.05,13.25,13.25,320.16,285.43,284.65,285.43,1.39,0.9,0.72,0.9,8.3,8.93,10.32,8.93,18.59,21.92,18.59,6.81,6.41,6.81
2022-05-01T21:00:00+00:00,17.99,17.99,27.25,27.25,0.39,0.39,68.2,68.2,0.0,0.0,-0.24,-0.24,208.24,208.24,0.05,0.05,13.24,13.24,325.11,285.53,284.8,285.53,1.42,0.89,0.71,0.89,8.03,8.89,10.29,8.89,20.76,23.48,20.76,6.37,6.14,6.37
2022-05-01T22:00:00+00:00,17.76,17.76,28.44,28.44,0.38,0.38,70.7,70.7,0.0,0.0,-0.24,-0.24,208.61,208.61,0.05,0.05,13.2,13.2,326.6,285.67,285.06,285.67,1.41,0.88,0.7,0.88,7.95,8.85,10.26,8.85,22.46,24.59,22.46,6.1,5.61,6.1
2022-05-01T23:00:00+00:00,17.53,17.53,29.63,29.63,0.38,0.38,73.2,73.2,0.0,0.0,-0.24,-0.24,208.97,208.97,0.05,0.05,13.15,13.15,328.1,285.8,285.33,285.8,1.41,0.86,0.7,0.86,7.86,8.8,10.24,8.8,24.16,25.71,24.16,5.82,5.08,5.82
2022-05-02T00:00:00+00:00,17.3,17.3,30.64,30.64,0.37,0.37,75.7,75.7,0.0,0.0,-0.24,-0.24,209.34,209.34,0.05,0.05,13.11,13.11,329.59,285.94,285.59,285.94,1.4,0.85,0.69,0.85,7.78,8.76,10.21,8.76,25.86,26.82,25.86,5.55,4.55,5.55
2022-05-02T01:00:00+00:00,16.94,16.94,31.55,31.55,0.37,0.37,79.3,79.3,0.0,0.0,-0.24,-0.24,209.6,209.6,0.05,0.05,13.02,13.02,330.67,286.03,285.73,286.03,1.39,0.84,0.68,0.84,7.75,8.74,10.18,8.74,24.78,25.34,24.78,5.56,4.47,5.56
2022-05-02T02:00:00+00:00,16.58,16.58,32.41,32.41,0.36,0.36,82.9,82.9,0.0,0.0,-0.24,-0.24,209.87,209.87,0.05,0.05,12.93,12.93,331.75,286.13,285.86,286.13,1.38,0.83,0.67,0.83,7.72,8.71,10.14,8.71,23.71,23.86,23.71,5.57,4.38,5.57
2022-05-02T03:00:00+00:00,16.21,16.21,32.89,32.89,0.36,0.36,86.5,86.5,0.0,0.0,-0.24,-0.24,210.13,210.13,0.05,0.05,12.84,12.84,332.83,286.22,286.0,286.22,1.37,0.82,0.66,0.82,7.69,8.69,10.11,8.69,22.63,22.38,22.63,5.58,4.3,5.58
2022-05-02T04:00:00+00:00,15.99,15.99,33.03,33.03,0.37,0.37,87.83,87.83,0.0,0.0,-0.24,-0.24,260.64,260.64,0.05,0.05,12.47,12.47,333.02,286.51,286.22,286.51,1.34,0.81,0.65,0.81,7.74,8.67,10.06,8.67,24.36,22.58,24.36,6.16,4.47,6.16
2022-05-02T05:00:00+00:00,15.77,15.77,32.9,32.9,0.37,0.37,89.17,89.17,0.0,0.0,-0.24,-0.24,311.14,311.14,0.05,0.05,12.09,12.09,333.21,286.8,286.45,286.8,1.31,0.79,0.65,0.79,7.8,8.64,10.0,8.64,26.08,22.79,26.08,6.75,4.63,6.75
2022-05-02T06:00:00+00:00,15.55,15.55,32.72,32.72,0.37,0.37,90.5,90.5,0.0,0.0,-0.24,-0.24,1.65,1.65,0.05,0.05,11.72,11.72,333.4,287.09,286.67,287.09,1.28,0.78,0.64,0.78,7.85,8.62,9.95,8.62,27.81,22.99,27.81,7.33,4.8,7.33
2022-05-02T07:00:00+00:00,16.8,16.8,32.47,32.47,0.37,0.37,81.4,81.4,0.0,0.0,-0.24,-0.24,1.86,1.86,0.05,0.05,11.61,11.61,333.87,287.49,287.08,287.49,1.25,0.76,0.63,0.76,7.91,8.61,9.91,8.61,27.94,25.27,27.94,7.74,5.41,7.74
2022-05-02T08:00:00+00:00,18.06,18.06,32.21,32.21,0.37,0.37,72.3,72.3,0.0,0.0,-0.23,-0.23,2.08,2.08,0.05,0.05,11.51,11.51,334.34,287.88,287.5,287.88,1.21,0.75,0.63,0.75,7.96,8.6,9.87,8.6,28.06,27.56,28.06,8.14,6.02,8.14
2022-05-02T09:00:00+00:00,19.31,19.31,32.18,32.18,0.37,0.37,63.2,63.2,0.0,0.0,-0.23,-0.23,2.29,2.29,0.05,0.05,11.4,11.4,334.81,288.28,287.91,288.28,1.18,0.73,0.62,0.73,8.02,8.59,9.83,8.59,28.19,29.84,28.19,8.55,6.63,8.55
2022-05-02T10:00:00+00:00,20.15,20.15,32.48,32.48,0.37,0.37,59.87,59.87,0.0,0.0,-0.23,-0.23,2.04,2.04,0.05,0.05,11.3,11.3,344.11,288.8,288.52,288.8,1.26,0.72,0.62,0.72,7.86,8.61,9.81,8.61,27.24,27.7,27.24,8.4,6.84,8.4
2022-05-02T11:00:00+00:00,20.99,20.99,32.42,32.42,0.37,0.37,56.53,56.53,0.0,0.0,-0.23,-0.23,1.79,1.79,0.06,0.06,11.21,11.21,353.4,289.31,289.14,289.31,1.35,0.71,0.62,0.71,7.7,8.62,9.79,8.62,26.29,25.56,26.29,8.24,7.05,8.24
2022-05-02T12:00:00+00:00,21.83,21.83,31.92,31.92,0.37,0.37,53.2,53.2,0.0,0.0,-0.23,-0.23,1.54,1.54,0.06,0.06,11.11,11.11,2.7,289.83,289.75,289.83,1.43,0.7,0.62,0.7,7.54,8.64,9.77,8.64,25.34,23.42,25.34,8.09,7.26,8.09
2022-05-02T13:00:00+00:00,21.67,21.67,30.82,30.82,0.38,0.38,54.03,54.03,0.0,0.0,-0.23,-0.23,341.76,341.76,0.14,0.14,11.36,11.36,5.37,324.99,313.66,324.99,1.41,0.69,0.43,0.69,7.63,7.9,10.17,7.9,21.37,19.09,21.37,8.25,7.68,8.25
2022-05-02T14:00:00+00:00,21.51,21.51,29.73,29.73,0.39,0.39,54.87,54.87,0.0,0.0,-0.23,-0.23,321.99,321.99,0.22,0.22,11.61,11.61,8.03,0.15,337.57,0.15,1.4,0.68,0.25,0.68,7.71,7.16,10.56,7.16,17.41,14.76,17.41,8.42,8.1,8.42
2022-05-02T15:00:00+00:00,21.35,21.35,28.53,28.53,0.4,0.4,55.7,55.7,0.0,0.0,-0.23,-0.23,302.21,302.21,0.3,0.3,11.86,11.86,10.7,35.31,1.48,35.31,1.38,0.67,0.06,0.67,7.8,6.42,10.96,6.42,13.44,10.43,13.44,8.58,8.52,8.58
2022-05-02T16:00:00+00:00,20.55,20.55,27.44,27.44,0.41,0.41,59.07,59.07,0.0,0.0,-0.23,-0.23,302.57,302.57,0.33,0.33,11.74,11.74,9.53,1.54,1.21,1.54,1.32,0.68,0.06,0.68,7.97,7.23,10.93,7.23,12.9,10.06,12.9,8.89,8.56,8.89
2022-05-02T17:00:00+00:00,19.75,19.75,26.79,26.79,0.42,0.42,62.43,62.43,0.01,0.01,-0.23,-0.23,302.94,302.94,0.35,0.35,11.63,11.63,8.37,327.76,0.95,327.76,1.25,0.7,0.06,0.7,8.15,8.05,10.89,8.05,12.35,9.69,12.35,9.2,8.59,9.2
