time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-03-02T01:00:00+00:00,15.47,15.47,29.0,29.0,0.47,0.47,81.9,81.9,0.0,0.0,-0.27,-0.27,302.88,302.88,0.88,0.88,13.48,13.48,335.14,327.81,326.07,327.81,3.4,2.62,1.98,2.62,13.66,12.38,14.35,12.38,22.79,26.97,22.79,8.74,6.58,8.74
2022-03-02T02:00:00+00:00,15.4,15.4,29.07,29.07,0.47,0.47,81.9,81.9,0.0,0.0,-0.27,-0.27,303.99,303.99,0.99,0.99,13.43,13.43,335.55,327.09,326.35,327.09,3.42,2.77,1.99,2.77,13.58,12.56,14.3,12.56,25.43,29.34,25.43,8.52,6.09,8.52
2022-03-02T03:00:00+00:00,15.33,15.33,29.44,29.44,0.46,0.46,81.9,81.9,0.0,0.0,-0.27,-0.27,305.09,305.09,1.09,1.09,13.38,13.38,335.96,326.38,326.64,326.38,3.44,2.93,1.99,2.93,13.5,12.74,14.25,12.74,28.07,31.7,28.07,8.3,5.6,8.3
2022-03-02T04:00:00+00:00,15.14,15.14,29.93,29.93,0.46,0.46,83.17,83.17,0.0,0.0,-0.27,-0.27,318.7,318.7,0.94,0.94,14.52,14.52,336.11,326.08,326.89,326.08,3.42,2.92,1.98,2.92,13.42,12.65,14.17,12.65,29.54,31.52,29.54,8.23,5.48,8.23
2022-03-02T05:00:00+00:00,14.94,14.94,30.44,30.44,0.45,0.45,84.43,84.43,0.0,0.0,-0.27,-0.27,332.31,332.31,0.78,0.78,15.66,15.66,336.26,325.79,327.15,325.79,3.39,2.91,1.98,2.91,13.33,12.55,14.09,12.55,31.01,31.34,31.01,8.17,5.37,8.17
2022-03-02T06:00:00+00:00,14.75,14.75,30.85,30.85,0.44,0.44,85.7,85.7,0.0,0.0,-0.27,-0.27,345.92,345.92,0.63,0.63,16.8,16.8,336.41,325.49,327.4,325.49,3.37,2.9,1.97,2.9,13.25,12.46,14.01,12.46,32.48,31.16,32.48,8.1,5.25,8.1
2022-03-02T07:00:00+00:00,15.22,15.22,31.37,31.37,0.43,0.43,82.37,82.37,0.0,0.0,-0.27,-0.27,332.3,332.3,0.76,0.76,15.42,15.42,336.42,325.19,330.54,325.19,3.33,2.85,1.86,2.85,13.17,12.29,14.01,12.29,34.34,31.86,34.34,8.13,5.76,8.13
2022-03-02T08:00:00+00:00,15.69,15.69,31.8,31.8,0.42,0.42,79.03,79.03,0.0,0.0,-0.27,-0.27,318.69,318.69,0.9,0.9,14.03,14.03,336.43,324.88,333.69,324.88,3.29,2.8,1.74,2.8,13.1,12.11,14.01,12.11,36.2,32.56,36.2,8.16,6.26,8.16
2022-03-02T09:00:00+00:00,16.17,16.17,32.28,32.28,0.41,0.41,75.7,75.7,0.0,0.0,-0.27,-0.27,305.07,305.07,1.03,1.03,12.65,12.65,336.44,324.58,336.83,324.58,3.25,2.75,1.63,2.75,13.02,11.94,14.01,11.94,38.06,33.26,38.06,8.19,6.77,8.19
2022-03-02T10:00:00+00:00,17.12,17.12,32.64,32.64,0.4,0.4,70.3,70.3,0.0,0.0,-0.27,-0.27,304.84,304.84,1.02,1.02,12.75,12.75,336.52,324.54,337.27,324.54,3.2,2.69,1.61,2.69,12.95,11.82,14.04,11.82,37.46,33.3,37.46,8.18,7.12,8.18
