time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-08-09T01:00:00+00:00,19.64,19.64,36.23,36.23,0.3,0.3,87.3,87.3,0.0,0.0,-0.15,-0.15,220.59,220.59,0.1,0.1,15.77,15.77,5.57,355.96,236.94,355.96,1.36,1.22,0.1,1.22,7.19,6.73,14.62,6.73,25.24,24.89,25.24,6.93,4.52,6.93
2022-08-09T02:00:00+00:00,19.48,19.48,36.53,36.53,0.29,0.29,87.9,87.9,0.0,0.0,-0.15,-0.15,214.42,214.42,0.1,0.1,16.48,16.48,4.92,354.94,221.74,354.94,1.36,1.17,0.11,1.17,7.19,6.75,16.21,6.75,27.78,24.27,27.78,6.98,5.23,6.98
2022-08-09T03:00:00+00:00,19.31,19.31,36.42,36.42,0.28,0.28,88.5,88.5,0.0,0.0,-0.15,-0.15,208.26,208.26,0.1,0.1,17.2,17.2,4.26,353.91,206.55,353.91,1.36,1.13,0.11,1.13,7.18,6.77,17.8,6.77,30.31,23.64,30.31,7.03,5.93,7.03
2022-08-09T04:00:00+00:00,19.13,19.13,35.99,35.99,0.27,0.27,89.17,89.17,0.0,0.0,-0.15,-0.15,208.45,208.45,0.1,0.1,16.79,16.79,4.65,353.9,207.75,353.9,1.37,1.12,0.1,1.12,7.12,6.74,16.99,6.74,31.83,27.24,31.83,6.76,5.4,6.76
2022-08-09T05:00:00+00:00,18.95,18.95,35.04,35.04,0.26,0.26,89.83,89.83,0.0,0.0,-0.15,-0.15,208.63,208.63,0.1,0.1,16.38,16.38,5.03,353.9,208.96,353.9,1.37,1.12,0.09,1.12,7.07,6.72,16.17,6.72,33.35,30.83,33.35,6.49,4.87,6.49
2022-08-09T06:00:00+00:00,18.77,18.77,33.96,33.96,0.25,0.25,90.5,90.5,0.0,0.0,-0.14,-0.14,208.82,208.82,0.1,0.1,15.97,15.97,5.42,353.89,210.16,353.89,1.38,1.11,0.08,1.11,7.01,6.69,15.36,6.69,34.87,34.43,34.87,6.22,4.34,6.22
2022-08-09T07:00:00+00:00,19.86,19.86,32.77,32.77,0.24,0.24,83.8,83.8,0.0,0.0,-0.14,-0.14,208.81,208.81,0.1,0.1,15.93,15.93,5.37,354.6,213.92,354.6,1.36,1.15,0.15,1.15,7.04,6.61,15.39,6.61,33.54,33.69,33.54,6.2,4.75,6.2
2022-08-09T08:00:00+00:00,20.96,20.96,30.99,30.99,0.24,0.24,77.1,77.1,0.0,0.0,-0.14,-0.14,208.81,208.81,0.11,0.11,15.9,15.9,5.32,355.31,217.69,355.31,1.34,1.18,0.21,1.18,7.07,6.54,15.43,6.54,32.21,32.95,32.21,6.17,5.15,6.17
2022-08-09T09:00:00+00:00,22.05,22.05,28.97,28.97,0.23,0.23,70.4,70.4,0.0,0.0,-0.14,-0.14,208.8,208.8,0.11,0.11,15.86,15.86,5.27,356.02,221.45,356.02,1.32,1.22,0.28,1.22,7.1,6.46,15.46,6.46,30.88,32.21,30.88,6.15,5.56,6.15
2022-08-09T10:00:00+00:00,22.92,22.92,26.96,26.96,0.24,0.24,67.73,67.73,0.0,0.0,-0.14,-0.14,209.43,209.43,0.1,0.1,15.4,15.4,5.31,358.41,217.13,358.41,1.29,1.28,0.23,1.28,7.18,6.32,16.18,6.32,24.35,23.33,24.35,6.4,6.52,6.4
2022-08-09T11:00:00+00:00,23.8,23.8,25.13,25.13,0.24,0.24,65.07,65.07,0.0,0.0,-0.14,-0.14,210.07,210.07,0.08,0.08,14.93,14.93,5.35,0.79,212.82,0.79,1.25,1.34,0.18,1.34,7.26,6.17,16.91,6.17,17.83,14.46,17.83,6.65,7.47,6.65
