time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-02-10T01:00:00+00:00,20.72,20.72,152.01,152.01,0.16,0.16,35.7,35.7,0.0,0.0,-0.23,-0.23,330.31,330.31,0.45,0.45,16.32,16.32,340.58,344.5,343.74,344.5,1.88,1.09,0.34,1.09,14.4,11.67,17.7,11.67,120.21,121.13,120.21,4.44,4.25,4.44
2022-02-10T02:00:00+00:00,20.56,20.56,149.29,149.29,0.16,0.16,35.6,35.6,0.0,0.0,-0.23,-0.23,334.53,334.53,0.46,0.46,17.87,17.87,339.35,339.78,335.33,339.78,1.94,1.21,0.39,1.21,14.94,13.72,16.9,13.72,124.72,123.0,124.72,5.26,4.56,5.26
2022-02-10T03:00:00+00:00,20.4,20.4,146.58,146.58,0.16,0.16,35.5,35.5,0.0,0.0,-0.23,-0.23,338.74,338.74,0.48,0.48,19.43,19.43,338.13,335.05,326.93,335.05,2.01,1.33,0.43,1.33,15.49,15.77,16.11,15.77,129.23,124.87,129.23,6.08,4.86,6.08
2022-02-10T04:00:00+00:00,19.8,19.8,143.86,143.86,0.15,0.15,35.37,35.37,0.0,0.0,-0.23,-0.23,342.14,342.14,0.54,0.54,17.56,17.56,337.95,335.13,324.7,335.13,2.11,1.45,0.43,1.45,15.61,15.6,15.33,15.6,127.9,131.64,127.9,5.6,5.07,5.6
2022-02-10T05:00:00+00:00,19.2,19.2,141.15,141.15,0.15,0.15,35.23,35.23,0.0,0.0,-0.23,-0.23,345.55,345.55,0.6,0.6,15.7,15.7,337.77,335.22,322.48,335.22,2.21,1.57,0.44,1.57,15.73,15.44,14.55,15.44,126.57,138.42,126.57,5.11,5.29,5.11
2022-02-10T06:00:00+00:00,18.6,18.6,138.43,138.43,0.14,0.14,35.1,35.1,0.0,0.0,-0.22,-0.22,348.95,348.95,0.66,0.66,13.83,13.83,337.59,335.3,320.25,335.3,2.31,1.69,0.44,1.69,15.85,15.27,13.77,15.27,125.24,145.19,125.24,4.63,5.5,4.63
2022-02-10T07:00:00+00:00,18.85,18.85,135.72,135.72,0.14,0.14,34.07,34.07,0.0,0.0,-0.22,-0.22,354.74,354.74,0.59,0.59,12.76,12.76,337.22,335.67,346.64,335.67,2.4,1.81,0.34,1.81,15.9,15.11,12.05,15.11,127.84,142.52,127.84,4.43,5.71,4.43
2022-02-10T08:00:00+00:00,19.1,19.1,133.0,133.0,0.14,0.14,33.03,33.03,0.0,0.0,-0.22,-0.22,0.52,0.52,0.53,0.53,11.69,11.69,336.86,336.03,13.03,336.03,2.48,1.92,0.24,1.92,15.94,14.96,10.33,14.96,130.43,139.84,130.43,4.22,5.92,4.22
2022-02-10T09:00:00+00:00,19.35,19.35,130.29,130.29,0.13,0.13,32.0,32.0,0.0,0.0,-0.22,-0.22,6.31,6.31,0.46,0.46,10.62,10.62,336.49,336.4,39.42,336.4,2.57,2.04,0.14,2.04,15.99,14.8,8.61,14.8,133.03,137.17,133.03,4.02,6.13,4.02
2022-02-10T10:00:00+00:00,20.61,20.61,127.57,127.57,0.13,0.13,28.97,28.97,0.0,0.0,-0.22,-0.22,355.95,355.95,0.54,0.54,11.41,11.41,335.87,336.06,27.71,336.06,2.62,2.12,0.25,2.12,16.1,14.78,8.9,14.78,133.68,143.72,133.68,4.94,6.54,4.94
2022-02-10T11:00:00+00:00,21.88,21.88,124.86,124.86,0.13,0.13,25.93,25.93,0.0,0.0,-0.22,-0.22,345.59,345.59,0.63,0.63,12.21,12.21,335.26,335.73,16.0,335.73,2.66,2.21,0.35,2.21,16.2,14.75,9.19,14.75,134.32,150.28,134.32,5.87,6.95,5.87
2022-02-10T12:00:00+00:00,23.14,23.14,122.14,122.14,0.12,0.12,22.9,22.9,0.0,0.0,-0.22,-0.22,335.23,335.23,0.71,0.71,13.0,13.0,334.64,335.39,4.29,335.39,2.71,2.29,0.46,2.29,16.31,14.73,9.48,14.73,134.97,156.83,134.97,6.79,7.36,6.79
2022-02-10T13:00:00+00:00,23.59,23.59,119.43,119.43,0.12,0.12,22.3,22.3,0.0,0.0,-0.22,-0.22,7.94,7.94,0.58,0.58,11.05,11.05,334.47,334.99,21.8,334.99,2.77,2.34,0.38,2.34,16.16,14.68,9.23,14.68,136.05,159.4,136.05,6.27,6.68,6.27
2022-02-10T14:00:00+00:00,24.03,24.03,116.71,116.71,0.12,0.12,21.7,21.7,0.0,0.0,-0.22,-0.22,40.65,40.65,0.46,0.46,9.09,9.09,334.3,334.6,39.31,334.6,2.82,2.39,0.29,2.39,16.0,14.64,8.97,14.64,137.12,161.96,137.12,5.76,6.0,5.76
2022-02-10T15:00:00+00:00,24.47,24.47,114.0,114.0,0.11,0.11,21.1,21.1,0.0,0.0,-0.22,-0.22,73.36,73.36,0.33,0.33,7.14,7.14,334.13,334.2,56.82,334.2,2.88,2.44,0.21,2.44,15.85,14.59,8.72,14.59,138.2,164.53,138.2,5.24,5.32,5.24
2022-02-10T16:00:00+00:00,24.0,24.0,111.28,111.28,0.11,0.11,23.07,23.07,0.0,0.0,-0.22,-0.22,96.08,96.08,0.39,0.39,7.66,7.66,333.89,334.11,54.65,334.11,2.91,2.47,0.24,2.47,15.82,14.48,8.69,14.48,132.59,132.8,132.59,4.28,3.61,4.28
2022-02-10T17:00:00+00:00,23.53,23.53,108.57,108.57,0.11,0.11,25.03,25.03,0.0,0.0,-0.22,-0.22,118.8,118.8,0.45,0.45,8.19,8.19,333.66,334.01,52.49,334.01,2.93,2.49,0.26,2.49,15.79,14.37,8.65,14.37,126.99,101.08,126.99,3.32,1.89,3.32
2022-02-10T18:00:00+00:00,23.07,23.07,105.85,105.85,0.1,0.1,27.0,27.0,0.0,0.0,-0.22,-0.22,141.52,141.52,0.51,0.51,8.71,8.71,333.42,333.92,50.32,333.92,2.96,2.52,0.29,2.52,15.76,14.26,8.62,14.26,121.38,69.35,121.38,2.36,0.18,2.36
2022-02-10T19:00:00+00:00,22.13,22.13,103.14,103.14,0.1,0.1,29.3,29.3,0.0,0.0,-0.22,-0.22,120.5,120.5,0.45,0.45,8.68,8.68,333.27,333.98,25.62,333.98,2.97,2.53,0.74,2.53,15.76,14.18,11.27,14.18,114.88,43.96,114.88,2.08,0.8,2.08
2022-02-10T20:00:00+00:00,21.2,21.2,100.42,100.42,0.09,0.09,31.6,31.6,0.0,0.0,-0.22,-0.22,99.48,99.48,0.39,0.39,8.64,8.64,333.13,334.05,0.91,334.05,2.99,2.55,1.18,2.55,15.77,14.1,13.92,14.1,108.39,18.58,108.39,1.8,1.43,1.8
2022-02-10T21:00:00+00:00,20.27,20.27,97.71,97.71,0.09,0.09,33.9,33.9,0.0,0.0,-0.22,-0.22,78.46,78.46,0.33,0.33,8.61,8.61,332.98,334.11,336.21,334.11,3.0,2.56,1.63,2.56,15.77,14.02,16.57,14.02,101.89,353.19,101.89,1.52,2.05,1.52
2022-02-10T22:00:00+00:00,20.28,20.28,94.99,94.99,0.09,0.09,32.37,32.37,0.0,0.0,-0.22,-0.22,52.8,52.8,0.4,0.4,11.24,11.24,333.27,334.27,0.7,334.27,2.84,2.57,1.18,2.57,15.34,13.97,13.79,13.97,102.89,20.72,102.89,1.37,2.05,1.37
2022-02-10T23:00:00+00:00,20.3,20.3,92.28,92.28,0.08,0.08,30.83,30.83,0.0,0.0,-0.22,-0.22,27.15,27.15,0.48,0.48,13.87,13.87,333.56,334.44,25.18,334.44,2.69,2.57,0.73,2.57,14.92,13.91,11.0,13.91,103.89,48.26,103.89,1.22,2.04,1.22
2022-02-11T00:00:00+00:00,20.31,20.31,89.56,89.56,0.08,0.08,29.3,29.3,0.0,0.0,-0.22,-0.22,1.49,1.49,0.55,0.55,16.5,16.5,333.85,334.6,49.67,334.6,2.53,2.58,0.28,2.58,14.49,13.86,8.22,13.86,104.89,75.79,104.89,1.07,2.04,1.07
2022-02-11T01:00:00+00:00,19.68,19.68,91.82,91.82,0.08,0.08,32.57,32.57,0.0,0.0,-0.22,-0.22,355.1,355.1,0.71,0.71,17.01,17.01,333.94,334.52,47.9,334.52,2.55,2.59,0.29,2.59,14.52,13.74,8.02,13.74,107.29,87.78,107.29,1.44,2.42,1.44
2022-02-11T02:00:00+00:00,19.05,19.05,94.15,94.15,0.08,0.08,35.83,35.83,0.0,0.0,-0.22,-0.22,348.71,348.71,0.87,0.87,17.51,17.51,334.04,334.45,46.12,334.45,2.56,2.6,0.3,2.6,14.55,13.62,7.82,13.62,109.68,99.77,109.68,1.82,2.79,1.82
2022-02-11T03:00:00+00:00,18.42,18.42,96.13,96.13,0.07,0.07,39.1,39.1,0.0,0.0,-0.22,-0.22,342.32,342.32,1.03,1.03,18.02,18.02,334.13,334.37,44.35,334.37,2.58,2.61,0.31,2.61,14.58,13.5,7.62,13.5,112.08,111.76,112.08,2.19,3.17,2.19
2022-02-11T04:00:00+00:00,18.12,18.12,97.66,97.66,0.07,0.07,43.97,43.97,0.0,0.0,-0.22,-0.22,342.13,342.13,1.04,1.04,17.95,17.95,334.17,334.41,46.97,334.41,2.59,2.63,0.31,2.63,14.61,13.49,7.43,13.49,113.83,117.04,113.83,1.9,3.35,1.9
2022-02-11T05:00:00+00:00,17.82,17.82,99.7,99.7,0.07,0.07,48.83,48.83,0.0,0.0,-0.22,-0.22,341.94,341.94,1.04,1.04,17.87,17.87,334.21,334.46,49.58,334.46,2.61,2.64,0.32,2.64,14.64,13.49,7.24,13.49,115.57,122.33,115.57,1.62,3.52,1.62
2022-02-11T06:00:00+00:00,17.53,17.53,100.92,100.92,0.07,0.07,53.7,53.7,0.0,0.0,-0.22,-0.22,341.75,341.75,1.05,1.05,17.8,17.8,334.25,334.5,52.2,334.5,2.62,2.66,0.32,2.66,14.67,13.48,7.05,13.48,117.32,127.61,117.32,1.33,3.7,1.33
2022-02-11T07:00:00+00:00,18.0,18.0,102.69,102.69,0.07,0.07,51.4,51.4,0.0,0.0,-0.22,-0.22,341.78,341.78,1.04,1.04,17.75,17.75,334.28,334.57,51.82,334.57,2.66,2.66,0.31,2.66,14.77,13.43,7.01,13.43,116.88,120.97,116.88,1.48,3.17,1.48
2022-02-11T08:00:00+00:00,18.48,18.48,103.66,103.66,0.07,0.07,49.1,49.1,0.0,0.0,-0.22,-0.22,341.82,341.82,1.04,1.04,17.7,17.7,334.32,334.65,51.44,334.65,2.69,2.66,0.29,2.66,14.86,13.37,6.98,13.37,116.44,114.32,116.44,1.62,2.64,1.62
2022-02-11T09:00:00+00:00,18.96,18.96,104.69,104.69,0.06,0.06,46.8,46.8,0.0,0.0,-0.22,-0.22,341.85,341.85,1.03,1.03,17.65,17.65,334.35,334.72,51.06,334.72,2.73,2.66,0.28,2.66,14.96,13.32,6.94,13.32,116.0,107.68,116.0,1.77,2.11,1.77
2022-02-11T10:00:00+00:00,20.13,20.13,105.26,105.26,0.06,0.06,42.53,42.53,0.0,0.0,-0.22,-0.22,359.34,359.34,0.78,0.78,13.98,13.98,334.37,334.83,26.15,334.83,2.78,2.65,0.76,2.65,15.06,13.27,10.07,13.27,106.17,99.1,106.17,1.63,2.04,1.63
2022-02-11T11:00:00+00:00,21.3,21.3,105.87,105.87,0.06,0.06,38.27,38.27,0.0,0.0,-0.22,-0.22,16.84,16.84,0.52,0.52,10.3,10.3,334.38,334.93,1.24,334.93,2.84,2.65,1.24,2.65,15.15,13.21,13.19,13.21,96.34,90.53,96.34,1.5,1.98,1.5
2022-02-11T12:00:00+00:00,22.47,22.47,105.36,105.36,0.06,0.06,34.0,34.0,0.0,0.0,-0.22,-0.22,34.33,34.33,0.27,0.27,6.63,6.63,334.4,335.04,336.33,335.04,2.89,2.64,1.72,2.64,15.25,13.16,16.32,13.16,86.51,81.95,86.51,1.36,1.91,1.36
2022-02-11T13:00:00+00:00,22.6,22.6,104.65,104.65,0.06,0.06,33.7,33.7,0.0,0.0,-0.22,-0.22,36.77,36.77,0.23,0.23,7.01,7.01,334.39,335.17,336.63,335.17,2.92,2.64,1.71,2.64,15.27,13.16,16.21,13.16,67.06,81.96,67.06,2.08,3.36,2.08
2022-02-11T14:00:00+00:00,22.73,22.73,103.24,103.24,0.05,0.05,33.4,33.4,0.0,0.0,-0.22,-0.22,39.22,39.22,0.2,0.2,7.39,7.39,334.39,335.29,336.92,335.29,2.94,2.63,1.71,2.63,15.29,13.15,16.09,13.15,47.6,81.97,47.6,2.8,4.81,2.8
2022-02-11T15:00:00+00:00,22.86,22.86,101.58,101.58,0.05,0.05,33.1,33.1,0.0,0.0,-0.22,-0.22,41.66,41.66,0.16,0.16,7.77,7.77,334.38,335.42,337.22,335.42,2.97,2.63,1.7,2.63,15.31,13.15,15.98,13.15,28.15,81.98,28.15,3.52,6.26,3.52
2022-02-11T16:00:00+00:00,22.05,22.05,99.12,99.12,0.05,0.05,35.9,35.9,0.0,0.0,-0.22,-0.22,42.03,42.03,0.16,0.16,7.67,7.67,334.39,335.61,337.43,335.61,2.97,2.63,1.7,2.63,15.28,13.13,16.02,13.13,29.96,92.63,29.96,3.32,5.2,3.32
2022-02-11T17:00:00+00:00,21.25,21.25,96.34,96.34,0.05,0.05,38.7,38.7,0.0,0.0,-0.22,-0.22,42.41,42.41,0.15,0.15,7.56,7.56,334.4,335.79,337.63,335.79,2.98,2.62,1.69,2.62,15.25,13.1,16.05,13.1,31.78,103.29,31.78,3.11,4.15,3.11
2022-02-11T18:00:00+00:00,20.44,20.44,93.53,93.53,0.05,0.05,41.5,41.5,0.0,0.0,-0.22,-0.22,42.78,42.78,0.15,0.15,7.46,7.46,334.41,335.98,337.84,335.98,2.98,2.62,1.69,2.62,15.22,13.08,16.09,13.08,33.59,113.94,33.59,2.91,3.09,2.91
2022-02-11T19:00:00+00:00,19.85,19.85,92.12,92.12,0.05,0.05,43.8,43.8,0.0,0.0,-0.22,-0.22,46.66,46.66,0.2,0.2,7.45,7.45,334.46,336.21,337.83,336.21,2.97,2.6,1.68,2.6,15.17,13.02,15.96,13.02,27.85,99.58,27.85,2.77,2.88,2.77
2022-02-11T20:00:00+00:00,19.27,19.27,90.7,90.7,0.05,0.05,46.1,46.1,0.0,0.0,-0.22,-0.22,50.54,50.54,0.24,0.24,7.43,7.43,334.52,336.44,337.82,336.44,2.95,2.58,1.68,2.58,15.12,12.97,15.83,12.97,22.1,85.22,22.1,2.64,2.66,2.64
2022-02-11T21:00:00+00:00,18.68,18.68,90.0,90.0,0.05,0.05,48.4,48.4,0.0,0.0,-0.22,-0.22,54.42,54.42,0.29,0.29,7.42,7.42,334.57,336.67,337.81,336.67,2.94,2.56,1.67,2.56,15.07,12.91,15.7,12.91,16.36,70.86,16.36,2.5,2.45,2.5
2022-02-11T22:00:00+00:00,18.39,18.39,90.0,90.0,0.05,0.05,49.97,49.97,0.0,0.0,-0.22,-0.22,53.5,53.5,0.31,0.31,7.3,7.3,334.67,336.92,338.1,336.92,2.9,2.54,1.66,2.54,14.97,12.85,15.62,12.85,28.73,57.14,28.73,2.12,2.36,2.12
2022-02-11T23:00:00+00:00,18.1,18.1,91.36,91.36,0.05,0.05,51.53,51.53,0.0,0.0,-0.22,-0.22,52.58,52.58,0.34,0.34,7.18,7.18,334.77,337.17,338.38,337.17,2.85,2.52,1.66,2.52,14.86,12.78,15.53,12.78,41.09,43.43,41.09,1.74,2.28,1.74
2022-02-12T00:00:00+00:00,17.81,17.81,101.82,101.82,0.05,0.05,53.1,53.1,0.0,0.0,-0.22,-0.22,51.66,51.66,0.36,0.36,7.06,7.06,334.87,337.42,338.67,337.42,2.81,2.5,1.65,2.5,14.76,12.72,15.45,12.72,53.46,29.71,53.46,1.36,2.19,1.36
2022-02-12T01:00:00+00:00,17.25,17.25,102.18,102.18,0.05,0.05,58.67,58.67,0.0,0.0,-0.22,-0.22,29.76,29.76,0.36,0.36,6.95,6.95,335.03,337.64,338.5,337.64,2.78,2.54,1.64,2.54,14.68,12.67,15.43,12.67,60.15,47.11,60.15,1.48,2.25,1.48
2022-02-12T02:00:00+00:00,16.69,16.69,101.56,101.56,0.05,0.05,64.23,64.23,0.0,0.0,-0.22,-0.22,7.86,7.86,0.37,0.37,6.84,6.84,335.18,337.87,338.32,337.87,2.76,2.57,1.62,2.57,14.61,12.63,15.42,12.63,66.85,64.5,66.85,1.6,2.32,1.6
2022-02-12T03:00:00+00:00,16.14,16.14,101.56,101.56,0.05,0.05,69.8,69.8,0.0,0.0,-0.22,-0.22,345.96,345.96,0.37,0.37,6.73,6.73,335.34,338.09,338.15,338.09,2.73,2.61,1.61,2.61,14.53,12.58,15.4,12.58,73.54,81.9,73.54,1.72,2.38,1.72
2022-02-12T04:00:00+00:00,15.78,15.78,100.3,100.3,0.05,0.05,70.5,70.5,0.0,0.0,-0.22,-0.22,4.28,4.28,0.29,0.29,6.72,6.72,335.48,338.66,338.02,338.66,2.7,2.59,1.59,2.59,14.42,12.49,15.39,12.49,61.13,78.07,61.13,2.02,2.2,2.02
2022-02-12T05:00:00+00:00,15.42,15.42,97.85,97.85,0.05,0.05,71.2,71.2,0.0,0.0,-0.22,-0.22,22.6,22.6,0.2,0.2,6.72,6.72,335.62,339.24,337.9,339.24,2.68,2.56,1.58,2.56,14.3,12.39,15.39,12.39,48.73,74.24,48.73,2.33,2.01,2.33
2022-02-12T06:00:00+00:00,15.06,15.06,95.31,95.31,0.05,0.05,71.9,71.9,0.0,0.0,-0.22,-0.22,40.92,40.92,0.12,0.12,6.71,6.71,335.76,339.81,337.77,339.81,2.65,2.54,1.56,2.54,14.19,12.3,15.38,12.3,36.32,70.41,36.32,2.63,1.83,2.63
2022-02-12T07:00:00+00:00,15.54,15.54,91.33,91.33,0.05,0.05,70.93,70.93,0.0,0.0,-0.22,-0.22,41.23,41.23,0.13,0.13,6.61,6.61,336.0,340.2,337.96,340.2,2.62,2.52,1.55,2.52,14.02,12.21,15.34,12.21,36.22,58.23,36.22,3.01,2.08,3.01
2022-02-12T08:00:00+00:00,16.02,16.02,86.67,86.67,0.05,0.05,69.97,69.97,0.0,0.0,-0.22,-0.22,41.53,41.53,0.15,0.15,6.5,6.5,336.25,340.59,338.14,340.59,2.6,2.51,1.54,2.51,13.86,12.12,15.31,12.12,36.11,46.05,36.11,3.4,2.32,3.4
2022-02-12T09:00:00+00:00,16.5,16.5,81.4,81.4,0.05,0.05,69.0,69.0,0.0,0.0,-0.22,-0.22,41.84,41.84,0.16,0.16,6.4,6.4,336.49,340.98,338.33,340.98,2.57,2.49,1.53,2.49,13.69,12.03,15.27,12.03,36.01,33.87,36.01,3.78,2.57,3.78
2022-02-12T10:00:00+00:00,17.57,17.57,75.65,75.65,0.05,0.05,63.17,63.17,0.0,0.0,-0.22,-0.22,16.29,16.29,0.24,0.24,5.67,5.67,336.88,340.8,338.63,340.8,2.54,2.43,1.52,2.43,13.49,11.87,15.2,11.87,32.94,32.17,32.94,3.83,3.19,3.83
2022-02-12T11:00:00+00:00,18.65,18.65,70.18,70.18,0.06,0.06,57.33,57.33,0.0,0.0,-0.22,-0.22,350.74,350.74,0.32,0.32,4.95,4.95,337.27,340.63,338.94,340.63,2.52,2.38,1.51,2.38,13.3,11.72,15.14,11.72,29.86,30.47,29.86,3.88,3.81,3.88
2022-02-12T12:00:00+00:00,19.73,19.73,64.51,64.51,0.06,0.06,51.5,51.5,0.0,0.0,-0.22,-0.22,325.19,325.19,0.4,0.4,4.22,4.22,337.66,340.45,339.24,340.45,2.49,2.32,1.5,2.32,13.1,11.56,15.07,11.56,26.79,28.77,26.79,3.93,4.43,3.93
2022-02-12T13:00:00+00:00,19.93,19.93,59.83,59.83,0.06,0.06,49.47,49.47,0.0,0.0,-0.22,-0.22,322.03,322.03,0.37,0.37,4.94,4.94,338.09,340.25,340.08,340.25,2.46,2.25,1.5,2.25,12.93,11.41,14.92,11.41,20.95,26.76,20.95,4.62,4.78,4.62
2022-02-12T14:00:00+00:00,20.12,20.12,55.1,55.1,0.06,0.06,47.43,47.43,0.0,0.0,-0.22,-0.22,318.86,318.86,0.34,0.34,5.67,5.67,338.52,340.04,340.93,340.04,2.42,2.18,1.51,2.18,12.76,11.25,14.78,11.25,15.12,24.75,15.12,5.32,5.12,5.32
2022-02-12T15:00:00+00:00,20.32,20.32,51.67,51.67,0.07,0.07,45.4,45.4,0.0,0.0,-0.22,-0.22,315.7,315.7,0.31,0.31,6.39,6.39,338.95,339.84,341.77,339.84,2.39,2.11,1.51,2.11,12.59,11.1,14.63,11.1,9.28,22.74,9.28,6.01,5.47,6.01
2022-02-12T16:00:00+00:00,19.65,19.65,48.53,48.53,0.07,0.07,50.3,50.3,0.0,0.0,-0.22,-0.22,319.62,319.62,0.41,0.41,6.78,6.78,339.35,339.88,341.36,339.88,2.35,2.07,1.49,2.07,12.41,10.99,14.52,10.99,11.52,22.11,11.52,6.3,5.55,6.3
2022-02-12T17:00:00+00:00,18.98,18.98,45.67,45.67,0.07,0.07,55.2,55.2,0.0,0.0,-0.22,-0.22,323.55,323.55,0.52,0.52,7.16,7.16,339.75,339.92,340.96,339.92,2.32,2.02,1.47,2.02,12.24,10.87,14.41,10.87,13.77,21.47,13.77,6.6,5.63,6.6
2022-02-12T18:00:00+00:00,18.32,18.32,44.36,44.36,0.08,0.08,60.1,60.1,0.0,0.0,-0.22,-0.22,327.47,327.47,0.62,0.62,7.55,7.55,340.15,339.96,340.55,339.96,2.28,1.98,1.45,1.98,12.06,10.76,14.3,10.76,16.01,20.84,16.01,6.89,5.71,6.89
2022-02-12T19:00:00+00:00,17.73,17.73,42.83,42.83,0.08,0.08,65.07,65.07,0.0,0.0,-0.21,-0.21,329.73,329.73,0.66,0.66,7.48,7.48,340.78,339.6,342.34,339.6,2.26,1.91,1.47,1.91,11.83,10.51,14.17,10.51,16.95,20.94,16.95,6.63,5.53,6.63
2022-02-12T20:00:00+00:00,17.15,17.15,42.61,42.61,0.08,0.08,70.03,70.03,0.0,0.0,-0.21,-0.21,332.0,332.0,0.69,0.69,7.41,7.41,341.4,339.23,344.13,339.23,2.23,1.84,1.5,1.84,11.6,10.26,14.04,10.26,17.89,21.05,17.89,6.37,5.34,6.37
2022-02-12T21:00:00+00:00,16.56,16.56,42.41,42.41,0.09,0.09,75.0,75.0,0.0,0.0,-0.21,-0.21,334.26,334.26,0.73,0.73,7.34,7.34,342.03,338.87,345.92,338.87,2.21,1.77,1.52,1.77,11.37,10.01,13.91,10.01,18.83,21.15,18.83,6.11,5.16,6.11
2022-02-12T22:00:00+00:00,16.32,16.32,42.51,42.51,0.09,0.09,76.43,76.43,0.0,0.0,-0.21,-0.21,355.6,355.6,0.53,0.53,7.02,7.02,342.76,342.75,346.53,342.75,2.1,1.63,1.52,1.63,11.06,10.41,13.8,10.41,17.49,20.57,17.49,6.06,4.76,6.06
2022-02-12T23:00:00+00:00,16.07,16.07,43.12,43.12,0.09,0.09,77.87,77.87,0.0,0.0,-0.21,-0.21,16.93,16.93,0.34,0.34,6.69,6.69,343.49,346.62,347.13,346.62,1.98,1.5,1.53,1.5,10.74,10.81,13.68,10.81,16.14,20.0,16.14,6.01,4.35,6.01
