time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-09-18T01:00:00+00:00,21.52,21.52,31.53,31.53,0.25,0.25,90.33,90.33,0.08,0.08,-0.19,-0.19,358.87,358.87,0.4,0.4,8.4,8.4,318.36,331.36,328.26,331.36,1.36,1.1,0.12,1.1,8.04,6.02,10.56,6.02,309.77,315.15,309.77,3.57,5.4,3.57
2022-09-18T02:00:00+00:00,21.4,21.4,31.74,31.74,0.25,0.25,90.87,90.87,0.07,0.07,-0.19,-0.19,357.58,357.58,0.34,0.34,8.77,8.77,317.6,314.67,303.76,314.67,1.35,1.05,0.11,1.05,8.02,7.11,10.75,7.11,309.03,311.15,309.03,3.29,5.46,3.29
2022-09-18T03:00:00+00:00,21.29,21.29,31.86,31.86,0.25,0.25,91.4,91.4,0.06,0.06,-0.19,-0.19,356.28,356.28,0.28,0.28,9.15,9.15,316.83,297.99,279.26,297.99,1.33,0.99,0.09,0.99,8.0,8.2,10.93,8.2,308.28,307.14,308.28,3.0,5.51,3.0
2022-09-18T04:00:00+00:00,21.37,21.37,31.86,31.86,0.25,0.25,90.27,90.27,0.05,0.05,-0.19,-0.19,332.34,332.34,0.29,0.29,9.12,9.12,316.09,298.0,262.6,298.0,1.32,0.98,0.12,0.98,8.02,8.18,10.97,8.18,303.3,308.51,303.3,3.07,5.48,3.07
2022-09-18T05:00:00+00:00,21.46,21.46,31.89,31.89,0.25,0.25,89.13,89.13,0.04,0.04,-0.19,-0.19,308.39,308.39,0.31,0.31,9.1,9.1,315.36,298.01,245.94,298.01,1.32,0.98,0.15,0.98,8.04,8.16,11.0,8.16,298.32,309.88,298.32,3.14,5.44,3.14
2022-09-18T06:00:00+00:00,21.55,21.55,31.83,31.83,0.25,0.25,88.0,88.0,0.03,0.03,-0.19,-0.19,284.45,284.45,0.32,0.32,9.07,9.07,314.62,298.02,229.28,298.02,1.31,0.97,0.18,0.97,8.06,8.14,11.04,8.14,293.34,311.25,293.34,3.21,5.41,3.21
2022-09-18T07:00:00+00:00,21.94,21.94,31.79,31.79,0.25,0.25,84.93,84.93,0.02,0.02,-0.19,-0.19,311.17,311.17,0.41,0.41,8.62,8.62,313.98,297.79,271.1,297.79,1.31,1.01,0.16,1.01,8.08,7.8,10.65,7.8,291.45,310.04,291.45,3.34,5.5,3.34
2022-09-18T08:00:00+00:00,22.34,22.34,31.51,31.51,0.24,0.24,81.87,81.87,0.01,0.01,-0.19,-0.19,337.88,337.88,0.49,0.49,8.16,8.16,313.33,297.57,312.93,297.57,1.3,1.06,0.14,1.06,8.09,7.45,10.25,7.45,289.56,308.83,289.56,3.47,5.6,3.47
2022-09-18T09:00:00+00:00,22.74,22.74,31.3,31.3,0.24,0.24,78.8,78.8,0.01,0.01,-0.19,-0.19,4.6,4.6,0.58,0.58,7.71,7.71,312.69,297.34,354.75,297.34,1.3,1.1,0.12,1.1,8.11,7.11,9.86,7.11,287.67,307.62,287.67,3.6,5.69,3.6
2022-09-18T10:00:00+00:00,23.18,23.18,30.86,30.86,0.23,0.23,76.2,76.2,0.01,0.01,-0.18,-0.18,4.4,4.4,0.57,0.57,7.7,7.7,312.13,297.49,310.02,297.49,1.3,1.1,0.11,1.1,8.11,7.09,11.3,7.09,291.06,303.44,291.06,3.81,5.73,3.81
2022-09-18T11:00:00+00:00,23.62,23.62,30.4,30.4,0.22,0.22,73.6,73.6,0.02,0.02,-0.18,-0.18,4.2,4.2,0.56,0.56,7.68,7.68,311.58,297.65,265.29,297.65,1.3,1.1,0.09,1.1,8.11,7.07,12.73,7.07,294.44,299.26,294.44,4.01,5.78,4.01
2022-09-18T12:00:00+00:00,24.06,24.06,29.84,29.84,0.22,0.22,71.0,71.0,0.02,0.02,-0.18,-0.18,4.0,4.0,0.55,0.55,7.67,7.67,311.02,297.8,220.56,297.8,1.3,1.1,0.08,1.1,8.11,7.05,14.17,7.05,297.83,295.08,297.83,4.22,5.82,4.22
2022-09-18T13:00:00+00:00,24.14,24.14,29.1,29.1,0.22,0.22,71.0,71.0,0.02,0.02,-0.18,-0.18,0.3,0.3,0.5,0.5,8.32,8.32,310.79,297.93,216.04,297.93,1.3,1.1,0.08,1.1,8.14,7.02,14.6,7.02,296.64,292.47,296.64,4.35,5.9,4.35
2022-09-18T14:00:00+00:00,24.21,24.21,28.4,28.4,0.21,0.21,71.0,71.0,0.01,0.01,-0.18,-0.18,356.6,356.6,0.46,0.46,8.98,8.98,310.57,298.05,211.52,298.05,1.29,1.11,0.08,1.11,8.18,6.98,15.04,6.98,295.46,289.87,295.46,4.48,5.98,4.48
2022-09-18T15:00:00+00:00,24.29,24.29,27.45,27.45,0.21,0.21,71.0,71.0,0.01,0.01,-0.18,-0.18,352.9,352.9,0.41,0.41,9.63,9.63,310.34,298.18,207.0,298.18,1.29,1.11,0.08,1.11,8.21,6.95,15.47,6.95,294.27,287.26,294.27,4.61,6.06,4.61
2022-09-18T16:00:00+00:00,23.81,23.81,26.49,26.49,0.21,0.21,73.53,73.53,0.01,0.01,-0.18,-0.18,356.65,356.65,0.43,0.43,8.97,8.97,310.11,298.43,206.87,298.43,1.29,1.11,0.08,1.11,8.21,6.95,15.21,6.95,296.65,292.94,296.65,4.11,5.93,4.11
2022-09-18T17:00:00+00:00,23.33,23.33,25.54,25.54,0.21,0.21,76.07,76.07,0.0,0.0,-0.18,-0.18,0.39,0.39,0.45,0.45,8.32,8.32,309.87,298.67,206.75,298.67,1.29,1.1,0.08,1.1,8.21,6.94,14.96,6.94,299.02,298.61,299.02,3.61,5.79,3.61
2022-09-18T18:00:00+00:00,22.85,22.85,24.83,24.83,0.22,0.22,78.6,78.6,0.0,0.0,-0.18,-0.18,4.14,4.14,0.47,0.47,7.66,7.66,309.64,298.92,206.62,298.92,1.29,1.1,0.08,1.1,8.21,6.94,14.7,6.94,301.4,304.29,301.4,3.11,5.66,3.11
2022-09-18T19:00:00+00:00,22.53,22.53,24.16,24.16,0.22,0.22,80.3,80.3,0.0,0.0,-0.18,-0.18,4.03,4.03,0.46,0.46,7.62,7.62,309.53,299.56,206.73,299.56,1.28,1.1,0.09,1.1,8.24,6.9,14.67,6.9,300.35,311.96,300.35,2.62,4.88,2.62
