time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-02-20T01:00:00+00:00,15.02,15.02,27.08,27.08,0.15,0.15,65.8,65.8,0.03,0.03,-0.22,-0.22,302.98,302.98,1.01,1.01,12.95,12.95,335.44,326.31,325.8,326.31,3.56,2.95,2.13,2.95,12.17,11.29,12.71,11.29,20.22,21.61,20.22,10.15,9.85,10.15
2022-02-20T02:00:00+00:00,14.98,14.98,29.97,29.97,0.16,0.16,62.5,62.5,0.02,0.02,-0.22,-0.22,302.87,302.87,1.09,1.09,12.85,12.85,335.91,327.41,326.75,327.41,3.59,3.24,2.16,3.24,12.25,10.95,12.72,10.95,18.3,18.62,18.3,10.15,9.39,10.15
2022-02-20T03:00:00+00:00,14.94,14.94,32.4,32.4,0.16,0.16,59.2,59.2,0.01,0.01,-0.22,-0.22,302.77,302.77,1.17,1.17,12.76,12.76,336.38,328.5,327.71,328.5,3.62,3.53,2.18,3.53,12.32,10.62,12.72,10.62,16.38,15.64,16.38,10.16,8.93,10.16
2022-02-20T04:00:00+00:00,14.78,14.78,34.12,34.12,0.16,0.16,62.4,62.4,0.06,0.06,-0.22,-0.22,303.32,303.32,1.17,1.17,12.59,12.59,337.03,331.79,287.7,331.79,3.63,3.34,1.47,3.34,12.29,10.14,15.31,10.14,15.18,16.22,15.18,10.01,8.96,10.01
2022-02-20T05:00:00+00:00,14.62,14.62,35.43,35.43,0.16,0.16,65.6,65.6,0.1,0.1,-0.22,-0.22,303.88,303.88,1.17,1.17,12.43,12.43,337.69,335.08,247.7,335.08,3.65,3.15,0.76,3.15,12.27,9.65,17.91,9.65,13.99,16.81,13.99,9.86,9.0,9.86
2022-02-20T06:00:00+00:00,14.45,14.45,36.18,36.18,0.15,0.15,68.8,68.8,0.15,0.15,-0.22,-0.22,304.43,304.43,1.17,1.17,12.26,12.26,338.34,338.37,207.69,338.37,3.66,2.96,0.05,2.96,12.24,9.17,20.5,9.17,12.79,17.39,12.79,9.71,9.03,9.71
2022-02-20T07:00:00+00:00,14.45,14.45,36.59,36.59,0.15,0.15,66.9,66.9,0.14,0.14,-0.22,-0.22,272.26,272.26,0.8,0.8,14.97,14.97,339.31,339.89,237.92,339.89,3.67,3.23,0.46,3.23,12.11,9.25,18.82,9.25,13.07,13.83,13.07,9.31,8.6,9.31
2022-02-20T08:00:00+00:00,14.44,14.44,36.57,36.57,0.14,0.14,65.0,65.0,0.13,0.13,-0.22,-0.22,240.09,240.09,0.43,0.43,17.67,17.67,340.29,341.4,268.15,341.4,3.68,3.51,0.88,3.51,11.99,9.33,17.14,9.33,13.34,10.26,13.34,8.9,8.18,8.9
2022-02-20T09:00:00+00:00,14.44,14.44,35.78,35.78,0.13,0.13,63.1,63.1,0.12,0.12,-0.22,-0.22,207.92,207.92,0.06,0.06,20.38,20.38,341.26,342.92,298.38,342.92,3.69,3.78,1.29,3.78,11.86,9.41,15.46,9.41,13.62,6.7,13.62,8.5,7.75,8.5
2022-02-20T10:00:00+00:00,14.88,14.88,35.06,35.06,0.13,0.13,60.37,60.37,0.08,0.08,-0.22,-0.22,208.11,208.11,0.06,0.06,20.36,20.36,341.62,343.57,308.61,343.57,3.67,3.75,1.46,3.75,11.88,9.45,14.64,9.45,10.24,3.87,10.24,8.21,8.09,8.21
