time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-06-20T01:00:00+00:00,18.97,18.97,54.94,54.94,0.24,0.24,89.37,89.37,0.0,0.0,-0.19,-0.19,330.21,330.21,0.42,0.42,11.27,11.27,346.02,348.34,228.53,348.34,1.47,1.03,0.18,1.03,7.92,6.01,13.56,6.01,41.65,35.54,41.65,5.71,4.07,5.71
2022-06-20T02:00:00+00:00,18.65,18.65,54.37,54.37,0.23,0.23,90.23,90.23,0.0,0.0,-0.19,-0.19,330.77,330.77,0.42,0.42,11.15,11.15,345.75,340.5,228.45,340.5,1.47,0.91,0.18,0.91,7.94,7.15,13.58,7.15,41.04,35.98,41.04,5.23,3.67,5.23
2022-06-20T03:00:00+00:00,18.32,18.32,53.5,53.5,0.21,0.21,91.1,91.1,0.0,0.0,-0.19,-0.19,331.32,331.32,0.42,0.42,11.03,11.03,345.49,332.67,228.37,332.67,1.48,0.79,0.18,0.79,7.95,8.3,13.61,8.3,40.42,36.41,40.42,4.74,3.27,4.74
2022-06-20T04:00:00+00:00,18.21,18.21,52.45,52.45,0.2,0.2,91.57,91.57,0.0,0.0,-0.19,-0.19,334.56,334.56,0.4,0.4,11.0,11.0,344.23,332.53,222.39,332.53,1.49,0.98,0.16,0.98,8.16,7.85,13.86,7.85,32.05,33.16,32.05,5.08,3.25,5.08
2022-06-20T05:00:00+00:00,18.09,18.09,51.37,51.37,0.18,0.18,92.03,92.03,0.0,0.0,-0.19,-0.19,337.8,337.8,0.39,0.39,10.96,10.96,342.96,332.4,216.4,332.4,1.51,1.17,0.13,1.17,8.36,7.41,14.11,7.41,23.67,29.91,23.67,5.43,3.24,5.43
2022-06-20T06:00:00+00:00,17.98,17.98,50.06,50.06,0.17,0.17,92.5,92.5,0.0,0.0,-0.19,-0.19,341.04,341.04,0.37,0.37,10.93,10.93,341.7,332.26,210.42,332.26,1.52,1.36,0.11,1.36,8.57,6.96,14.36,6.96,15.3,26.66,15.3,5.77,3.22,5.77
2022-06-20T07:00:00+00:00,19.02,19.02,48.53,48.53,0.16,0.16,85.2,85.2,0.0,0.0,-0.19,-0.19,341.66,341.66,0.4,0.4,10.94,10.94,341.56,335.2,259.35,335.2,1.59,1.38,0.14,1.38,8.9,6.65,14.38,6.65,15.69,23.1,15.69,6.04,4.5,6.04
2022-06-20T08:00:00+00:00,20.06,20.06,47.1,47.1,0.15,0.15,77.9,77.9,0.0,0.0,-0.19,-0.19,342.28,342.28,0.42,0.42,10.95,10.95,341.41,338.15,308.28,338.15,1.65,1.39,0.17,1.39,9.24,6.33,14.39,6.33,16.08,19.53,16.08,6.31,5.77,6.31
2022-06-20T09:00:00+00:00,21.11,21.11,45.5,45.5,0.15,0.15,70.6,70.6,0.0,0.0,-0.19,-0.19,342.9,342.9,0.45,0.45,10.96,10.96,341.27,341.09,357.21,341.09,1.72,1.41,0.2,1.41,9.57,6.02,14.41,6.02,16.47,15.97,16.47,6.58,7.05,6.58
2022-06-20T10:00:00+00:00,21.96,21.96,43.98,43.98,0.15,0.15,67.07,67.07,0.0,0.0,-0.19,-0.19,340.21,340.21,0.5,0.5,11.6,11.6,342.13,342.66,318.08,342.66,1.84,1.67,0.22,1.67,9.86,6.91,13.87,6.91,17.48,21.67,17.48,6.51,7.08,6.51
2022-06-20T11:00:00+00:00,22.81,22.81,42.45,42.45,0.15,0.15,63.53,63.53,0.0,0.0,-0.19,-0.19,337.51,337.51,0.54,0.54,12.25,12.25,342.98,344.24,278.94,344.24,1.96,1.94,0.24,1.94,10.16,7.79,13.33,7.79,18.5,27.36,18.5,6.45,7.12,6.45
2022-06-20T12:00:00+00:00,23.67,23.67,41.32,41.32,0.15,0.15,60.0,60.0,0.0,0.0,-0.19,-0.19,334.82,334.82,0.59,0.59,12.89,12.89,343.84,345.81,239.81,345.81,2.08,2.2,0.26,2.2,10.45,8.68,12.79,8.68,19.51,33.06,19.51,6.38,7.15,6.38
2022-06-20T13:00:00+00:00,23.77,23.77,40.48,40.48,0.15,0.15,59.77,59.77,0.0,0.0,-0.19,-0.19,293.65,293.65,0.43,0.43,13.11,13.11,344.33,346.21,275.11,346.21,2.17,2.3,0.84,2.3,10.65,8.83,12.42,8.83,17.44,30.67,17.44,6.73,7.13,6.73
2022-06-20T14:00:00+00:00,23.88,23.88,39.78,39.78,0.16,0.16,59.53,59.53,0.0,0.0,-0.19,-0.19,252.48,252.48,0.28,0.28,13.33,13.33,344.82,346.61,310.41,346.61,2.27,2.4,1.41,2.4,10.85,8.98,12.06,8.98,15.37,28.27,15.37,7.08,7.1,7.08
2022-06-20T15:00:00+00:00,23.98,23.98,39.33,39.33,0.17,0.17,59.3,59.3,0.0,0.0,-0.19,-0.19,211.31,211.31,0.12,0.12,13.55,13.55,345.31,347.01,345.71,347.01,2.36,2.5,1.99,2.5,11.05,9.13,11.69,9.13,13.3,25.88,13.3,7.43,7.08,7.43
2022-06-20T16:00:00+00:00,23.32,23.32,38.87,38.87,0.18,0.18,61.87,61.87,0.0,0.0,-0.19,-0.19,211.17,211.17,0.12,0.12,13.53,13.53,345.53,347.15,346.3,347.15,2.4,2.53,2.05,2.53,11.11,9.18,11.57,9.18,15.07,23.96,15.07,7.72,7.01,7.72
2022-06-20T17:00:00+00:00,22.65,22.65,38.6,38.6,0.19,0.19,64.43,64.43,0.0,0.0,-0.19,-0.19,211.03,211.03,0.12,0.12,13.5,13.5,345.75,347.29,346.9,347.29,2.44,2.55,2.12,2.55,11.16,9.23,11.44,9.23,16.85,22.03,16.85,8.0,6.94,8.0
2022-06-20T18:00:00+00:00,21.98,21.98,38.63,38.63,0.21,0.21,67.0,67.0,0.0,0.0,-0.19,-0.19,210.89,210.89,0.12,0.12,13.48,13.48,345.97,347.43,347.49,347.43,2.48,2.58,2.18,2.58,11.22,9.28,11.32,9.28,18.62,20.11,18.62,8.29,6.87,8.29
