time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-04-21T01:00:00+00:00,15.04,15.04,22.17,22.17,0.28,0.28,67.53,67.53,0.0,0.0,-0.24,-0.24,318.3,318.3,0.42,0.42,8.78,8.78,7.75,356.85,208.34,356.85,2.32,2.18,0.08,2.18,9.48,8.45,11.06,8.45,24.62,27.78,24.62,9.6,7.98,9.6
2022-04-21T02:00:00+00:00,14.94,14.94,23.46,23.46,0.28,0.28,68.47,68.47,0.01,0.01,-0.24,-0.24,326.16,326.16,0.48,0.48,10.06,10.06,7.99,359.74,208.36,359.74,2.34,2.31,0.08,2.31,9.35,8.26,11.03,8.26,25.34,27.04,25.34,9.23,7.86,9.23
2022-04-21T03:00:00+00:00,14.84,14.84,24.45,24.45,0.27,0.27,69.4,69.4,0.01,0.01,-0.24,-0.24,334.01,334.01,0.55,0.55,11.33,11.33,8.24,2.63,208.38,2.63,2.37,2.45,0.08,2.45,9.21,8.08,11.01,8.08,26.06,26.31,26.06,8.86,7.74,8.86
2022-04-21T04:00:00+00:00,14.86,14.86,25.3,25.3,0.27,0.27,69.77,69.77,0.01,0.01,-0.24,-0.24,313.39,313.39,0.47,0.47,11.29,11.29,8.14,2.97,208.32,2.97,2.32,2.43,0.08,2.43,9.2,8.02,10.98,8.02,24.82,24.3,24.82,8.81,7.44,8.81
2022-04-21T05:00:00+00:00,14.88,14.88,25.75,25.75,0.27,0.27,70.13,70.13,0.01,0.01,-0.24,-0.24,292.76,292.76,0.4,0.4,11.25,11.25,8.04,3.3,208.26,3.3,2.27,2.41,0.08,2.41,9.18,7.97,10.96,7.97,23.57,22.29,23.57,8.77,7.13,8.77
2022-04-21T06:00:00+00:00,14.91,14.91,26.21,26.21,0.27,0.27,70.5,70.5,0.01,0.01,-0.24,-0.24,272.14,272.14,0.32,0.32,11.21,11.21,7.94,3.64,208.2,3.64,2.22,2.39,0.08,2.39,9.17,7.91,10.93,7.91,22.33,20.28,22.33,8.72,6.83,8.72
2022-04-21T07:00:00+00:00,15.38,15.38,26.51,26.51,0.26,0.26,68.33,68.33,0.01,0.01,-0.24,-0.24,257.53,257.53,0.25,0.25,10.94,10.94,7.53,4.59,208.79,4.59,2.17,2.4,0.08,2.4,9.16,7.77,10.88,7.77,22.24,17.5,22.24,8.64,6.84,8.64
2022-04-21T08:00:00+00:00,15.85,15.85,26.75,26.75,0.26,0.26,66.17,66.17,0.01,0.01,-0.24,-0.24,242.92,242.92,0.19,0.19,10.66,10.66,7.13,5.53,209.38,5.53,2.12,2.41,0.08,2.41,9.14,7.63,10.82,7.63,22.14,14.71,22.14,8.56,6.85,8.56
2022-04-21T09:00:00+00:00,16.32,16.32,26.87,26.87,0.26,0.26,64.0,64.0,0.01,0.01,-0.24,-0.24,228.31,228.31,0.12,0.12,10.39,10.39,6.72,6.48,209.97,6.48,2.07,2.42,0.08,2.42,9.13,7.49,10.77,7.49,22.05,11.93,22.05,8.48,6.86,8.48
2022-04-21T10:00:00+00:00,16.87,16.87,27.12,27.12,0.26,0.26,62.6,62.6,0.01,0.01,-0.24,-0.24,236.19,236.19,0.13,0.13,10.17,10.17,7.0,6.48,210.12,6.48,2.05,2.37,0.08,2.37,9.03,7.46,10.72,7.46,18.82,7.5,18.82,8.11,7.06,8.11
