time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-01-21T01:00:00+00:00,17.63,17.63,224.58,224.58,0.01,0.01,53.47,53.47,0.0,0.0,-0.18,-0.18,314.26,314.26,0.34,0.34,9.97,9.97,303.57,298.69,303.65,298.69,1.76,1.36,0.21,1.36,10.78,10.56,8.95,10.56,123.08,128.29,123.08,7.13,6.29,7.13
2022-01-21T02:00:00+00:00,17.32,17.32,224.37,224.37,0.01,0.01,54.43,54.43,0.0,0.0,-0.18,-0.18,334.34,334.34,0.31,0.31,10.48,10.48,303.78,296.62,331.63,296.62,1.79,1.46,0.19,1.46,10.94,10.44,10.06,10.44,122.43,126.78,122.43,7.66,6.42,7.66
2022-01-21T03:00:00+00:00,17.0,17.0,224.16,224.16,0.01,0.01,55.4,55.4,0.0,0.0,-0.18,-0.18,354.41,354.41,0.28,0.28,11.0,11.0,304.0,294.55,359.61,294.55,1.83,1.56,0.17,1.56,11.1,10.32,11.17,10.32,121.77,125.26,121.77,8.2,6.56,8.2
2022-01-21T04:00:00+00:00,17.06,17.06,223.95,223.95,0.01,0.01,53.5,53.5,0.0,0.0,-0.18,-0.18,13.75,13.75,0.32,0.32,9.51,9.51,305.12,294.41,359.6,294.41,1.88,1.56,0.17,1.56,11.03,10.26,11.08,10.26,123.07,130.71,123.07,8.46,6.3,8.46
2022-01-21T05:00:00+00:00,17.12,17.12,223.74,223.74,0.01,0.01,51.6,51.6,0.0,0.0,-0.18,-0.18,33.08,33.08,0.37,0.37,8.02,8.02,306.24,294.26,359.6,294.26,1.93,1.56,0.16,1.56,10.96,10.2,10.98,10.2,124.37,136.16,124.37,8.73,6.03,8.73
2022-01-21T06:00:00+00:00,17.18,17.18,223.53,223.53,0.01,0.01,49.7,49.7,0.0,0.0,-0.18,-0.18,52.42,52.42,0.41,0.41,6.53,6.53,307.36,294.12,359.59,294.12,1.98,1.56,0.16,1.56,10.89,10.14,10.89,10.14,125.67,141.61,125.67,8.99,5.77,8.99
2022-01-21T07:00:00+00:00,17.4,17.4,223.32,223.32,0.01,0.01,48.03,48.03,0.0,0.0,-0.18,-0.18,54.5,54.5,0.41,0.41,6.57,6.57,307.55,293.94,3.54,293.94,2.02,1.55,0.18,1.55,10.71,10.09,10.54,10.09,128.5,142.64,128.5,8.81,6.5,8.81
2022-01-21T08:00:00+00:00,17.63,17.63,223.11,223.11,0.01,0.01,46.37,46.37,0.0,0.0,-0.18,-0.18,56.57,56.57,0.41,0.41,6.62,6.62,307.75,293.75,7.49,293.75,2.05,1.53,0.19,1.53,10.53,10.04,10.19,10.04,131.34,143.68,131.34,8.62,7.22,8.62
2022-01-21T09:00:00+00:00,17.85,17.85,222.9,222.9,0.01,0.01,44.7,44.7,0.0,0.0,-0.18,-0.18,58.65,58.65,0.41,0.41,6.66,6.66,307.94,293.57,11.44,293.57,2.09,1.52,0.21,1.52,10.35,9.99,9.84,9.99,134.17,144.71,134.17,8.44,7.95,8.44
2022-01-21T10:00:00+00:00,18.79,18.79,222.69,222.69,0.01,0.01,45.2,45.2,0.0,0.0,-0.18,-0.18,64.24,64.24,0.45,0.45,6.5,6.5,308.54,293.36,7.84,293.36,2.07,1.5,0.19,1.5,10.33,9.94,10.35,9.94,138.96,156.84,138.96,8.67,6.32,8.67
2022-01-21T11:00:00+00:00,19.73,19.73,222.48,222.48,0.01,0.01,45.7,45.7,0.0,0.0,-0.18,-0.18,69.82,69.82,0.48,0.48,6.35,6.35,309.13,293.16,4.24,293.16,2.04,1.49,0.16,1.49,10.32,9.9,10.86,9.9,143.74,168.98,143.74,8.89,4.69,8.89
2022-01-21T12:00:00+00:00,20.67,20.67,222.27,222.27,0.01,0.01,46.2,46.2,0.0,0.0,-0.18,-0.18,75.41,75.41,0.52,0.52,6.19,6.19,309.73,292.95,0.64,292.95,2.02,1.47,0.14,1.47,10.3,9.85,11.37,9.85,148.53,181.11,148.53,9.12,3.06,9.12
2022-01-21T13:00:00+00:00,20.85,20.85,222.06,222.06,0.01,0.01,45.77,45.77,0.0,0.0,-0.18,-0.18,71.84,71.84,0.48,0.48,6.16,6.16,302.8,292.75,10.24,292.75,2.07,1.45,0.18,1.45,9.94,9.8,10.26,9.8,156.43,192.13,156.43,7.95,3.25,7.95
2022-01-21T14:00:00+00:00,21.02,21.02,221.85,221.85,0.01,0.01,45.33,45.33,0.0,0.0,-0.18,-0.18,68.26,68.26,0.45,0.45,6.12,6.12,295.86,292.55,19.83,292.55,2.13,1.43,0.21,1.43,9.57,9.74,9.14,9.74,164.34,203.14,164.34,6.77,3.43,6.77
2022-01-21T15:00:00+00:00,21.19,21.19,221.64,221.64,0.01,0.01,44.9,44.9,0.0,0.0,-0.18,-0.18,64.69,64.69,0.41,0.41,6.09,6.09,288.93,292.35,29.43,292.35,2.18,1.41,0.25,1.41,9.21,9.69,8.03,9.69,172.24,214.16,172.24,5.6,3.62,5.6
2022-01-21T16:00:00+00:00,20.7,20.7,221.43,221.43,0.01,0.01,46.63,46.63,0.0,0.0,-0.18,-0.18,63.98,63.98,0.41,0.41,6.08,6.08,289.29,292.1,30.29,292.1,2.14,1.39,0.25,1.39,9.23,9.62,7.98,9.62,176.75,218.19,176.75,4.48,3.28,4.48
2022-01-21T17:00:00+00:00,20.22,20.22,221.22,221.22,0.01,0.01,48.37,48.37,0.0,0.0,-0.18,-0.18,63.28,63.28,0.4,0.4,6.08,6.08,289.64,291.86,31.16,291.86,2.09,1.37,0.26,1.37,9.24,9.56,7.92,9.56,181.25,222.23,181.25,3.37,2.94,3.37
2022-01-21T18:00:00+00:00,19.73,19.73,221.01,221.01,0.01,0.01,50.1,50.1,0.0,0.0,-0.18,-0.18,62.57,62.57,0.4,0.4,6.07,6.07,290.0,291.61,32.02,291.61,2.05,1.35,0.26,1.35,9.26,9.49,7.87,9.49,185.76,226.26,185.76,2.25,2.6,2.25
2022-01-21T19:00:00+00:00,18.89,18.89,220.8,220.8,0.01,0.01,53.93,53.93,0.0,0.0,-0.18,-0.18,51.24,51.24,0.4,0.4,6.21,6.21,291.24,291.44,36.65,291.44,2.0,1.33,0.25,1.33,9.31,9.42,8.27,9.42,182.21,221.0,182.21,1.77,1.89,1.77
2022-01-21T20:00:00+00:00,18.05,18.05,220.59,220.59,0.01,0.01,57.77,57.77,0.0,0.0,-0.18,-0.18,39.92,39.92,0.39,0.39,6.36,6.36,292.48,291.28,41.28,291.28,1.94,1.32,0.25,1.32,9.36,9.34,8.66,9.34,178.66,215.73,178.66,1.3,1.17,1.3
