time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-03-22T01:00:00+00:00,15.02,15.02,3.21,3.21,0.08,0.08,73.87,73.87,0.01,0.01,-0.25,-0.25,37.43,37.43,0.13,0.13,8.99,8.99,324.36,322.91,324.17,322.91,2.1,2.15,1.2,2.15,10.44,9.04,13.8,9.04,18.93,28.04,18.93,5.18,3.74,5.18
2022-03-22T02:00:00+00:00,14.79,14.79,3.18,3.18,0.08,0.08,75.23,75.23,0.01,0.01,-0.25,-0.25,31.45,31.45,0.11,0.11,9.59,9.59,324.79,322.81,317.23,322.81,2.1,2.09,0.63,2.09,10.43,8.91,15.21,8.91,19.46,24.52,19.46,4.71,3.61,4.71
2022-03-22T03:00:00+00:00,14.55,14.55,3.18,3.18,0.08,0.08,76.6,76.6,0.01,0.01,-0.25,-0.25,25.47,25.47,0.1,0.1,10.19,10.19,325.22,322.71,310.3,322.71,2.1,2.03,0.07,2.03,10.43,8.79,16.61,8.79,19.98,21.01,19.98,4.24,3.49,4.24
2022-03-22T04:00:00+00:00,14.41,14.41,2.75,2.75,0.08,0.08,76.3,76.3,0.01,0.01,-0.25,-0.25,3.94,3.94,0.11,0.11,13.56,13.56,324.98,323.23,310.56,323.23,2.09,2.0,0.09,2.0,10.59,8.71,16.33,8.71,22.63,19.14,22.63,4.59,3.6,4.59
2022-03-22T05:00:00+00:00,14.26,14.26,1.86,1.86,0.08,0.08,76.0,76.0,0.0,0.0,-0.25,-0.25,342.4,342.4,0.13,0.13,16.93,16.93,324.74,323.75,310.82,323.75,2.09,1.96,0.1,1.96,10.74,8.63,16.06,8.63,25.29,17.27,25.29,4.93,3.72,4.93
2022-03-22T06:00:00+00:00,14.12,14.12,0.95,0.95,0.07,0.07,75.7,75.7,0.0,0.0,-0.25,-0.25,320.87,320.87,0.14,0.14,20.3,20.3,324.5,324.27,311.08,324.27,2.08,1.93,0.12,1.93,10.9,8.55,15.78,8.55,27.94,15.4,27.94,5.28,3.83,5.28
2022-03-22T07:00:00+00:00,14.71,14.71,359.52,359.52,0.07,0.07,72.5,72.5,0.0,0.0,-0.25,-0.25,314.26,314.26,0.31,0.31,16.87,16.87,324.35,324.48,313.7,324.48,2.1,1.87,0.2,1.87,11.2,8.46,16.87,8.46,24.8,13.9,24.8,4.96,4.27,4.96
2022-03-22T08:00:00+00:00,15.29,15.29,358.06,358.06,0.07,0.07,69.3,69.3,0.0,0.0,-0.25,-0.25,307.65,307.65,0.48,0.48,13.45,13.45,324.2,324.69,316.32,324.69,2.13,1.82,0.27,1.82,11.5,8.37,17.97,8.37,21.67,12.39,21.67,4.64,4.71,4.64
2022-03-22T09:00:00+00:00,15.88,15.88,357.04,357.04,0.07,0.07,66.1,66.1,0.0,0.0,-0.25,-0.25,301.04,301.04,0.65,0.65,10.02,10.02,324.05,324.9,318.94,324.9,2.15,1.76,0.35,1.76,11.8,8.28,19.06,8.28,18.53,10.89,18.53,4.32,5.15,4.32
2022-03-22T10:00:00+00:00,16.45,16.45,355.56,355.56,0.07,0.07,64.03,64.03,0.0,0.0,-0.25,-0.25,307.26,307.26,0.65,0.65,12.71,12.71,323.52,328.03,312.52,328.03,2.2,1.65,0.36,1.65,12.25,8.22,16.11,8.22,12.07,6.12,12.07,4.35,5.25,4.35
