time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-07-30T01:00:00+00:00,20.35,20.35,34.16,34.16,0.33,0.33,87.37,87.37,0.0,0.0,-0.16,-0.16,212.5,212.5,0.07,0.07,12.53,12.53,9.22,9.62,209.9,9.62,1.53,1.07,0.06,1.07,7.77,7.19,16.62,7.19,19.14,17.58,19.14,8.81,7.09,8.81
2022-07-30T02:00:00+00:00,20.29,20.29,35.33,35.33,0.33,0.33,87.53,87.53,0.0,0.0,-0.16,-0.16,212.41,212.41,0.07,0.07,12.5,12.5,10.1,7.46,209.83,7.46,1.57,1.14,0.06,1.14,7.72,7.07,16.6,7.07,18.04,16.83,18.04,8.56,7.02,8.56
2022-07-30T03:00:00+00:00,20.22,20.22,36.24,36.24,0.32,0.32,87.7,87.7,0.0,0.0,-0.16,-0.16,212.31,212.31,0.07,0.07,12.48,12.48,10.98,5.31,209.76,5.31,1.62,1.2,0.06,1.2,7.66,6.94,16.57,6.94,16.93,16.09,16.93,8.32,6.95,8.32
2022-07-30T04:00:00+00:00,20.23,20.23,36.83,36.83,0.31,0.31,87.73,87.73,0.0,0.0,-0.16,-0.16,212.26,212.26,0.07,0.07,12.43,12.43,11.08,4.6,209.99,4.6,1.62,1.28,0.06,1.28,7.7,6.8,16.41,6.8,17.05,16.84,17.05,8.36,6.97,8.36
2022-07-30T05:00:00+00:00,20.24,20.24,37.19,37.19,0.3,0.3,87.77,87.77,0.0,0.0,-0.16,-0.16,212.21,212.21,0.07,0.07,12.37,12.37,11.19,3.9,210.21,3.9,1.61,1.37,0.06,1.37,7.74,6.67,16.24,6.67,17.17,17.58,17.17,8.39,6.98,8.39
2022-07-30T06:00:00+00:00,20.25,20.25,37.22,37.22,0.3,0.3,87.8,87.8,0.0,0.0,-0.16,-0.16,212.16,212.16,0.07,0.07,12.32,12.32,11.29,3.19,210.44,3.19,1.61,1.45,0.06,1.45,7.78,6.53,16.08,6.53,17.29,18.33,17.29,8.43,7.0,8.43
2022-07-30T07:00:00+00:00,21.01,21.01,36.92,36.92,0.29,0.29,83.2,83.2,0.0,0.0,-0.16,-0.16,212.12,212.12,0.07,0.07,12.21,12.21,10.24,5.83,210.5,5.83,1.57,1.4,0.06,1.4,7.89,6.67,15.93,6.67,19.94,17.71,19.94,8.77,7.13,8.77
2022-07-30T08:00:00+00:00,21.77,21.77,36.25,36.25,0.28,0.28,78.6,78.6,0.0,0.0,-0.16,-0.16,212.08,212.08,0.06,0.06,12.1,12.1,9.19,8.46,210.57,8.46,1.52,1.34,0.06,1.34,8.0,6.81,15.78,6.81,22.58,17.09,22.58,9.11,7.25,9.11
2022-07-30T09:00:00+00:00,22.53,22.53,35.21,35.21,0.27,0.27,74.0,74.0,0.0,0.0,-0.16,-0.16,212.04,212.04,0.06,0.06,11.99,11.99,8.14,11.1,210.63,11.1,1.48,1.29,0.06,1.29,8.11,6.95,15.63,6.95,25.23,16.47,25.23,9.45,7.38,9.45
2022-07-30T10:00:00+00:00,23.61,23.61,33.8,33.8,0.27,0.27,69.7,69.7,0.0,0.0,-0.16,-0.16,211.82,211.82,0.06,0.06,13.19,13.19,9.5,10.48,211.11,10.48,1.45,1.4,0.06,1.4,8.18,6.76,14.38,6.76,23.53,15.2,23.53,9.53,7.48,9.53
2022-07-30T11:00:00+00:00,24.68,24.68,32.3,32.3,0.27,0.27,65.4,65.4,0.0,0.0,-0.16,-0.16,211.59,211.59,0.06,0.06,14.38,14.38,10.87,9.86,211.59,9.86,1.43,1.51,0.06,1.51,8.25,6.56,13.12,6.56,21.83,13.92,21.83,9.61,7.57,9.61
2022-07-30T12:00:00+00:00,25.75,25.75,30.74,30.74,0.26,0.26,61.1,61.1,0.0,0.0,-0.16,-0.16,211.37,211.37,0.06,0.06,15.58,15.58,12.23,9.24,212.07,9.24,1.4,1.62,0.06,1.62,8.32,6.37,11.87,6.37,20.13,12.65,20.13,9.69,7.67,9.69
2022-07-30T13:00:00+00:00,25.75,25.75,29.18,29.18,0.26,0.26,61.57,61.57,0.0,0.0,-0.16,-0.16,211.19,211.19,0.06,0.06,15.57,15.57,13.4,9.43,212.0,9.43,1.43,1.62,0.06,1.62,8.26,6.34,11.85,6.34,19.32,10.78,19.32,9.58,8.2,9.58
2022-07-30T14:00:00+00:00,25.74,25.74,27.75,27.75,0.26,0.26,62.03,62.03,0.0,0.0,-0.16,-0.16,211.0,211.0,0.06,0.06,15.57,15.57,14.58,9.62,211.93,9.62,1.46,1.62,0.06,1.62,8.2,6.32,11.82,6.32,18.5,8.92,18.5,9.47,8.74,9.47
2022-07-30T15:00:00+00:00,25.74,25.74,26.51,26.51,0.27,0.27,62.5,62.5,0.0,0.0,-0.16,-0.16,210.82,210.82,0.06,0.06,15.56,15.56,15.75,9.81,211.86,9.81,1.49,1.62,0.06,1.62,8.14,6.29,11.8,6.29,17.69,7.05,17.69,9.36,9.27,9.36
2022-07-30T16:00:00+00:00,25.04,25.04,25.59,25.59,0.27,0.27,66.37,66.37,0.0,0.0,-0.16,-0.16,210.81,210.81,0.06,0.06,15.53,15.53,17.15,11.61,211.89,11.61,1.46,1.53,0.06,1.53,8.12,6.41,11.78,6.41,15.06,6.48,15.06,9.32,8.48,9.32
2022-07-30T17:00:00+00:00,24.35,24.35,24.99,24.99,0.28,0.28,70.23,70.23,0.0,0.0,-0.16,-0.16,210.81,210.81,0.06,0.06,15.49,15.49,18.54,13.41,211.93,13.41,1.44,1.44,0.05,1.44,8.11,6.54,11.76,6.54,12.42,5.91,12.42,9.29,7.7,9.29
2022-07-30T18:00:00+00:00,23.65,23.65,24.7,24.7,0.28,0.28,74.1,74.1,0.0,0.0,-0.16,-0.16,210.8,210.8,0.06,0.06,15.46,15.46,19.94,15.21,211.96,15.21,1.41,1.35,0.05,1.35,8.09,6.66,11.74,6.66,9.79,5.34,9.79,9.25,6.91,9.25
2022-07-30T19:00:00+00:00,22.74,22.74,24.79,24.79,0.29,0.29,79.13,79.13,0.0,0.0,-0.16,-0.16,210.96,210.96,0.06,0.06,15.27,15.27,18.46,15.77,211.94,15.77,1.42,1.19,0.05,1.19,7.96,6.88,11.72,6.88,11.17,7.57,11.17,8.95,6.61,8.95
2022-07-30T20:00:00+00:00,21.83,21.83,25.04,25.04,0.3,0.3,84.17,84.17,0.0,0.0,-0.16,-0.16,211.13,211.13,0.06,0.06,15.07,15.07,16.97,16.33,211.91,16.33,1.43,1.03,0.05,1.03,7.84,7.09,11.7,7.09,12.56,9.79,12.56,8.66,6.3,8.66
2022-07-30T21:00:00+00:00,20.91,20.91,25.69,25.69,0.3,0.3,89.2,89.2,0.0,0.0,-0.16,-0.16,211.29,211.29,0.06,0.06,14.88,14.88,15.49,16.89,211.89,16.89,1.44,0.87,0.05,0.87,7.71,7.31,11.68,7.31,13.94,12.02,13.94,8.36,6.0,8.36
2022-07-30T22:00:00+00:00,20.94,20.94,26.41,26.41,0.31,0.31,87.83,87.83,0.0,0.0,-0.16,-0.16,211.14,211.14,0.06,0.06,14.8,14.8,14.86,9.7,211.74,9.7,1.52,0.97,0.05,0.97,7.59,6.92,11.66,6.92,14.45,17.68,14.45,7.56,5.35,7.56
2022-07-30T23:00:00+00:00,20.97,20.97,27.32,27.32,0.31,0.31,86.47,86.47,0.0,0.0,-0.16,-0.16,211.0,211.0,0.07,0.07,14.73,14.73,14.23,2.52,211.58,2.52,1.6,1.07,0.05,1.07,7.47,6.53,11.63,6.53,14.97,23.33,14.97,6.75,4.7,6.75
2022-07-31T00:00:00+00:00,20.99,20.99,33.74,33.74,0.43,0.43,85.1,85.1,0.0,0.0,-0.18,-0.18,210.85,210.85,0.07,0.07,14.65,14.65,13.6,355.33,211.43,355.33,1.68,1.17,0.05,1.17,7.35,6.14,11.61,6.14,15.48,28.99,15.48,5.95,4.05,5.95
2022-07-31T01:00:00+00:00,20.65,20.65,34.08,34.08,0.43,0.43,87.0,87.0,0.0,0.0,-0.18,-0.18,211.05,211.05,0.07,0.07,14.64,14.64,13.55,357.46,211.37,357.46,1.66,1.21,0.05,1.21,7.29,6.18,11.55,6.18,15.34,24.68,15.34,5.7,4.24,5.7
2022-07-31T02:00:00+00:00,20.31,20.31,34.41,34.41,0.42,0.42,88.9,88.9,0.0,0.0,-0.18,-0.18,211.24,211.24,0.08,0.08,14.62,14.62,13.49,359.59,211.31,359.59,1.64,1.25,0.05,1.25,7.24,6.23,11.48,6.23,15.21,20.38,15.21,5.45,4.43,5.45
2022-07-31T03:00:00+00:00,19.97,19.97,34.42,34.42,0.41,0.41,90.8,90.8,0.0,0.0,-0.18,-0.18,211.44,211.44,0.08,0.08,14.61,14.61,13.44,1.72,211.25,1.72,1.62,1.29,0.05,1.29,7.18,6.27,11.42,6.27,15.07,16.07,15.07,5.2,4.62,5.2
2022-07-31T04:00:00+00:00,19.79,19.79,34.31,34.31,0.41,0.41,91.5,91.5,0.0,0.0,-0.18,-0.18,211.45,211.45,0.08,0.08,14.6,14.6,13.23,3.46,211.35,3.46,1.59,1.38,0.05,1.38,7.16,6.18,11.34,6.18,10.81,13.68,10.81,4.91,4.25,4.91
2022-07-31T05:00:00+00:00,19.62,19.62,34.0,34.0,0.4,0.4,92.2,92.2,0.0,0.0,-0.18,-0.18,211.46,211.46,0.08,0.08,14.59,14.59,13.01,5.19,211.45,5.19,1.57,1.46,0.05,1.46,7.14,6.08,11.26,6.08,6.56,11.3,6.56,4.62,3.87,4.62
2022-07-31T06:00:00+00:00,19.44,19.44,33.57,33.57,0.39,0.39,92.9,92.9,0.0,0.0,-0.18,-0.18,211.47,211.47,0.08,0.08,14.58,14.58,12.8,6.93,211.55,6.93,1.54,1.55,0.05,1.55,7.12,5.99,11.18,5.99,2.3,8.91,2.3,4.33,3.5,4.33
2022-07-31T07:00:00+00:00,20.6,20.6,32.94,32.94,0.39,0.39,86.63,86.63,0.0,0.0,-0.17,-0.17,211.45,211.45,0.08,0.08,14.55,14.55,12.48,7.42,211.6,7.42,1.51,1.53,0.05,1.53,7.13,6.01,11.14,6.01,3.26,15.44,3.26,4.54,3.72,4.54
2022-07-31T08:00:00+00:00,21.76,21.76,32.25,32.25,0.38,0.38,80.37,80.37,0.0,0.0,-0.17,-0.17,211.44,211.44,0.08,0.08,14.53,14.53,12.17,7.9,211.64,7.9,1.48,1.52,0.05,1.52,7.15,6.02,11.1,6.02,4.21,21.96,4.21,4.76,3.94,4.76
2022-07-31T09:00:00+00:00,22.91,22.91,31.49,31.49,0.38,0.38,74.1,74.1,0.0,0.0,-0.17,-0.17,211.42,211.42,0.08,0.08,14.5,14.5,11.85,8.39,211.69,8.39,1.45,1.5,0.05,1.5,7.16,6.04,11.06,6.04,5.17,28.49,5.17,4.97,4.16,4.97
2022-07-31T10:00:00+00:00,24.88,24.88,30.77,30.77,0.38,0.38,65.7,65.7,0.0,0.0,-0.17,-0.17,211.5,211.5,0.08,0.08,14.42,14.42,11.54,8.06,211.54,8.06,1.43,1.49,0.05,1.49,7.13,6.01,11.04,6.01,5.95,23.14,5.95,4.92,4.5,4.92
2022-07-31T11:00:00+00:00,26.85,26.85,29.95,29.95,0.37,0.37,57.3,57.3,0.0,0.0,-0.17,-0.17,211.59,211.59,0.08,0.08,14.34,14.34,11.22,7.72,211.4,7.72,1.42,1.47,0.05,1.47,7.09,5.99,11.01,5.99,6.74,17.8,6.74,4.87,4.83,4.87
2022-07-31T12:00:00+00:00,28.82,28.82,29.33,29.33,0.37,0.37,48.9,48.9,0.0,0.0,-0.17,-0.17,211.67,211.67,0.08,0.08,14.26,14.26,10.91,7.39,211.25,7.39,1.4,1.46,0.05,1.46,7.06,5.96,10.99,5.96,7.52,12.45,7.52,4.82,5.17,4.82
2022-07-31T13:00:00+00:00,28.21,28.21,28.74,28.74,0.37,0.37,53.23,53.23,0.0,0.0,-0.17,-0.17,211.71,211.71,0.08,0.08,14.12,14.12,10.61,6.77,211.12,6.77,1.38,1.42,0.05,1.42,7.05,6.0,10.97,6.0,5.78,7.47,5.78,4.86,5.3,4.86
2022-07-31T14:00:00+00:00,27.6,27.6,28.35,28.35,0.38,0.38,57.57,57.57,0.0,0.0,-0.17,-0.17,211.75,211.75,0.08,0.08,13.99,13.99,10.3,6.15,210.98,6.15,1.37,1.37,0.05,1.37,7.04,6.03,10.96,6.03,4.05,2.48,4.05,4.91,5.43,4.91
