time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-06-30T01:00:00+00:00,18.64,18.64,27.62,27.62,0.28,0.28,79.43,79.43,0.01,0.01,-0.2,-0.2,233.42,233.42,0.12,0.12,14.57,14.57,358.9,359.12,298.8,359.12,1.69,1.86,0.12,1.86,8.88,7.33,16.4,7.33,16.72,10.84,16.72,9.48,8.89,9.48
2022-06-30T02:00:00+00:00,18.8,18.8,28.3,28.3,0.28,0.28,77.57,77.57,0.02,0.02,-0.2,-0.2,255.43,255.43,0.14,0.14,14.94,14.94,359.42,359.83,254.68,359.83,1.75,1.82,0.11,1.82,8.71,7.35,15.22,7.35,18.44,11.13,18.44,9.11,9.06,9.11
2022-06-30T03:00:00+00:00,18.95,18.95,28.59,28.59,0.28,0.28,75.7,75.7,0.02,0.02,-0.2,-0.2,277.45,277.45,0.17,0.17,15.32,15.32,359.95,0.55,210.56,0.55,1.81,1.78,0.1,1.78,8.55,7.36,14.04,7.36,20.15,11.42,20.15,8.75,9.22,8.75
2022-06-30T04:00:00+00:00,19.06,19.06,28.66,28.66,0.28,0.28,75.9,75.9,0.02,0.02,-0.2,-0.2,299.17,299.17,0.26,0.26,15.47,15.47,0.05,0.59,210.84,0.59,1.8,1.75,0.1,1.75,8.58,7.26,13.95,7.26,19.56,12.57,19.56,8.69,8.97,8.69
2022-06-30T05:00:00+00:00,19.17,19.17,28.62,28.62,0.27,0.27,76.1,76.1,0.02,0.02,-0.2,-0.2,320.9,320.9,0.34,0.34,15.62,15.62,0.15,0.64,211.12,0.64,1.78,1.73,0.09,1.73,8.62,7.16,13.87,7.16,18.96,13.72,18.96,8.64,8.72,8.64
2022-06-30T06:00:00+00:00,19.28,19.28,28.29,28.29,0.27,0.27,76.3,76.3,0.01,0.01,-0.2,-0.2,342.62,342.62,0.43,0.43,15.77,15.77,0.25,0.68,211.4,0.68,1.77,1.7,0.09,1.7,8.65,7.06,13.78,7.06,18.37,14.87,18.37,8.58,8.47,8.58
2022-06-30T07:00:00+00:00,19.63,19.63,27.96,27.96,0.27,0.27,74.03,74.03,0.02,0.02,-0.2,-0.2,343.73,343.73,0.5,0.5,15.18,15.18,359.69,1.91,211.37,1.91,1.76,1.45,0.09,1.45,8.77,7.39,13.73,7.39,17.75,13.53,17.75,8.72,8.67,8.72
2022-06-30T08:00:00+00:00,19.97,19.97,27.62,27.62,0.27,0.27,71.77,71.77,0.02,0.02,-0.2,-0.2,344.83,344.83,0.56,0.56,14.59,14.59,359.14,3.13,211.33,3.13,1.74,1.2,0.09,1.2,8.89,7.73,13.68,7.73,17.12,12.2,17.12,8.86,8.87,8.86
2022-06-30T09:00:00+00:00,20.32,20.32,27.27,27.27,0.27,0.27,69.5,69.5,0.02,0.02,-0.2,-0.2,345.94,345.94,0.63,0.63,14.0,14.0,358.58,4.36,211.3,4.36,1.73,0.95,0.09,0.95,9.01,8.06,13.63,8.06,16.5,10.86,16.5,9.0,9.07,9.0
2022-06-30T10:00:00+00:00,20.91,20.91,27.04,27.04,0.26,0.26,65.9,65.9,0.01,0.01,-0.2,-0.2,348.91,348.91,0.61,0.61,12.85,12.85,358.79,1.18,211.29,1.18,1.74,1.17,0.09,1.17,9.16,7.61,13.59,7.61,13.1,7.98,13.1,9.02,9.01,9.02
