time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-01-31T01:00:00+00:00,15.04,15.04,169.7,169.7,0.04,0.04,66.97,66.97,0.0,0.0,-0.21,-0.21,34.88,34.88,0.35,0.35,8.64,8.64,33.93,31.63,354.94,31.63,1.01,0.5,0.27,0.5,8.0,6.09,9.19,6.09,351.35,295.39,351.35,0.87,1.45,0.87
2022-01-31T02:00:00+00:00,14.79,14.79,160.71,160.71,0.04,0.04,66.43,66.43,0.0,0.0,-0.21,-0.21,30.76,30.76,0.36,0.36,8.81,8.81,32.95,21.96,353.07,21.96,1.0,0.47,0.28,0.47,8.0,6.72,9.31,6.72,353.21,300.53,353.21,0.71,1.47,0.71
2022-01-31T03:00:00+00:00,14.54,14.54,146.82,146.82,0.04,0.04,65.9,65.9,0.0,0.0,-0.21,-0.21,26.63,26.63,0.36,0.36,8.97,8.97,31.96,12.29,351.2,12.29,0.99,0.44,0.28,0.44,8.01,7.36,9.42,7.36,355.06,305.68,355.06,0.55,1.49,0.55
2022-01-31T04:00:00+00:00,14.33,14.33,128.11,128.11,0.04,0.04,64.63,64.63,0.0,0.0,-0.21,-0.21,14.75,14.75,0.35,0.35,9.34,9.34,31.88,20.55,10.44,20.55,0.98,0.45,0.26,0.45,8.0,6.82,8.84,6.82,20.42,315.92,20.42,0.68,1.2,0.68
2022-01-31T05:00:00+00:00,14.13,14.13,110.56,110.56,0.05,0.05,63.37,63.37,0.0,0.0,-0.21,-0.21,2.86,2.86,0.35,0.35,9.72,9.72,31.81,28.8,29.68,28.8,0.97,0.46,0.25,0.46,7.98,6.27,8.26,6.27,45.79,326.17,45.79,0.81,0.91,0.81
2022-01-31T06:00:00+00:00,13.92,13.92,96.6,96.6,0.06,0.06,62.1,62.1,0.0,0.0,-0.21,-0.21,350.98,350.98,0.34,0.34,10.09,10.09,31.73,37.06,48.92,37.06,0.96,0.47,0.23,0.47,7.97,5.73,7.68,5.73,71.15,336.41,71.15,0.95,0.62,0.95
2022-01-31T07:00:00+00:00,14.68,14.68,86.09,86.09,0.07,0.07,58.4,58.4,0.0,0.0,-0.21,-0.21,354.93,354.93,0.34,0.34,9.82,9.82,31.28,36.66,37.78,36.66,0.95,0.47,0.24,0.47,7.97,5.71,7.89,5.71,80.37,6.45,80.37,1.52,0.9,1.52
2022-01-31T08:00:00+00:00,15.43,15.43,80.47,80.47,0.08,0.08,54.7,54.7,0.0,0.0,-0.21,-0.21,358.87,358.87,0.35,0.35,9.56,9.56,30.82,36.26,26.64,36.26,0.95,0.48,0.25,0.48,7.97,5.68,8.09,5.68,89.58,36.5,89.58,2.1,1.18,2.1
2022-01-31T09:00:00+00:00,16.19,16.19,78.2,78.2,0.1,0.1,51.0,51.0,0.0,0.0,-0.21,-0.21,2.82,2.82,0.35,0.35,9.29,9.29,30.37,35.86,15.5,35.86,0.94,0.48,0.26,0.48,7.97,5.66,8.3,5.66,98.8,66.54,98.8,2.67,1.46,2.67
2022-01-31T10:00:00+00:00,17.48,17.48,77.27,77.27,0.11,0.11,46.73,46.73,0.0,0.0,-0.21,-0.21,10.75,10.75,0.35,0.35,9.05,9.05,20.69,35.37,7.83,35.37,0.9,0.47,0.27,0.47,8.31,5.7,8.59,5.7,105.93,82.63,105.93,4.68,1.58,4.68
2022-01-31T11:00:00+00:00,18.76,18.76,76.61,76.61,0.12,0.12,42.47,42.47,0.0,0.0,-0.21,-0.21,18.67,18.67,0.36,0.36,8.81,8.81,11.02,34.89,0.17,34.89,0.85,0.46,0.27,0.46,8.64,5.75,8.88,5.75,113.05,98.72,113.05,6.68,1.69,6.68
