time,airTemperature.noaa,airTemperature.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,seaLevel.meto,seaLevel.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg
2022-05-31T01:00:00+00:00,18.44,18.44,34.35,34.35,0.21,0.21,85.1,85.1,0.0,0.0,-0.2,-0.2,268.06,268.06,0.48,0.48,7.66,7.66,293.52,304.12,303.09,304.12,1.11,0.68,0.33,0.68,7.49,5.96,10.76,5.96,188.99,20.41,188.99,2.36,1.24,2.36
2022-05-31T02:00:00+00:00,18.13,18.13,35.81,35.81,0.21,0.21,86.3,86.3,0.0,0.0,-0.2,-0.2,299.65,299.65,0.47,0.47,9.02,9.02,293.53,305.21,260.7,305.21,1.11,0.64,0.24,0.64,7.55,6.56,11.33,6.56,175.53,45.13,175.53,1.97,1.09,1.97
2022-05-31T03:00:00+00:00,17.82,17.82,36.7,36.7,0.2,0.2,87.5,87.5,0.0,0.0,-0.2,-0.2,331.25,331.25,0.47,0.47,10.38,10.38,293.54,306.31,218.31,306.31,1.11,0.61,0.14,0.61,7.6,7.16,11.9,7.16,162.06,69.86,162.06,1.59,0.95,1.59
2022-05-31T04:00:00+00:00,17.73,17.73,37.18,37.18,0.2,0.2,87.73,87.73,0.0,0.0,-0.2,-0.2,329.06,329.06,0.48,0.48,10.3,10.3,293.72,302.73,240.92,302.73,1.12,0.66,0.15,0.66,7.64,6.57,11.32,6.57,165.16,93.54,165.16,1.67,1.29,1.67
2022-05-31T05:00:00+00:00,17.65,17.65,37.26,37.26,0.2,0.2,87.97,87.97,0.0,0.0,-0.2,-0.2,326.86,326.86,0.48,0.48,10.23,10.23,293.89,299.14,263.53,299.14,1.12,0.71,0.15,0.71,7.69,5.97,10.74,5.97,168.25,117.22,168.25,1.74,1.63,1.74
2022-05-31T06:00:00+00:00,17.56,17.56,36.76,36.76,0.19,0.19,88.2,88.2,0.0,0.0,-0.2,-0.2,324.67,324.67,0.49,0.49,10.15,10.15,294.07,295.56,286.14,295.56,1.13,0.76,0.16,0.76,7.73,5.38,10.16,5.38,171.35,140.9,171.35,1.82,1.97,1.82
2022-05-31T07:00:00+00:00,18.79,18.79,35.96,35.96,0.18,0.18,82.63,82.63,0.0,0.0,-0.2,-0.2,324.61,324.61,0.53,0.53,10.02,10.02,294.58,302.8,279.66,302.8,1.15,0.71,0.14,0.71,7.81,6.32,11.37,6.32,178.31,148.87,178.31,2.38,2.55,2.38
2022-05-31T08:00:00+00:00,20.02,20.02,34.94,34.94,0.18,0.18,77.07,77.07,0.01,0.01,-0.2,-0.2,324.54,324.54,0.58,0.58,9.88,9.88,295.1,310.03,273.17,310.03,1.17,0.65,0.12,0.65,7.9,7.25,12.58,7.25,185.26,156.83,185.26,2.93,3.14,2.93
2022-05-31T09:00:00+00:00,21.24,21.24,33.91,33.91,0.17,0.17,71.5,71.5,0.01,0.01,-0.2,-0.2,324.48,324.48,0.62,0.62,9.75,9.75,295.61,317.27,266.69,317.27,1.19,0.6,0.1,0.6,7.98,8.19,13.79,8.19,192.22,164.8,192.22,3.49,3.72,3.49
2022-05-31T10:00:00+00:00,22.35,22.35,32.71,32.71,0.17,0.17,66.4,66.4,0.01,0.01,-0.2,-0.2,324.98,324.98,0.46,0.46,11.29,11.29,298.44,311.65,247.74,311.65,1.21,0.77,0.1,0.77,8.3,7.63,13.39,7.63,208.14,181.69,208.14,5.04,4.77,5.04
2022-05-31T11:00:00+00:00,23.46,23.46,31.69,31.69,0.16,0.16,61.3,61.3,0.0,0.0,-0.21,-0.21,325.48,325.48,0.31,0.31,12.84,12.84,301.27,306.03,228.78,306.03,1.22,0.95,0.1,0.95,8.61,7.06,13.0,7.06,224.05,198.57,224.05,6.59,5.82,6.59
2022-05-31T12:00:00+00:00,24.57,24.57,30.89,30.89,0.16,0.16,56.2,56.2,0.0,0.0,-0.21,-0.21,325.98,325.98,0.15,0.15,14.38,14.38,304.1,300.41,209.83,300.41,1.24,1.12,0.1,1.12,8.93,6.5,12.6,6.5,239.97,215.46,239.97,8.14,6.87,8.14
2022-05-31T13:00:00+00:00,24.27,24.27,30.33,30.33,0.16,0.16,57.53,57.53,0.0,0.0,-0.21,-0.21,325.99,325.99,0.17,0.17,14.2,14.2,303.91,301.34,209.58,301.34,1.29,1.15,0.1,1.15,9.0,6.62,12.58,6.62,240.95,224.41,240.95,8.28,7.46,8.28
2022-05-31T14:00:00+00:00,23.96,23.96,29.96,29.96,0.16,0.16,58.87,58.87,0.0,0.0,-0.21,-0.21,326.0,326.0,0.19,0.19,14.02,14.02,303.71,302.26,209.34,302.26,1.34,1.19,0.1,1.19,9.08,6.74,12.56,6.74,241.93,233.36,241.93,8.42,8.04,8.42
2022-05-31T15:00:00+00:00,23.65,23.65,30.04,30.04,0.16,0.16,60.2,60.2,0.0,0.0,-0.21,-0.21,326.01,326.01,0.21,0.21,13.84,13.84,303.52,303.19,209.09,303.19,1.39,1.22,0.1,1.22,9.15,6.86,12.54,6.86,242.91,242.31,242.91,8.56,8.63,8.56
2022-05-31T16:00:00+00:00,23.03,23.03,30.3,30.3,0.16,0.16,64.2,64.2,0.0,0.0,-0.2,-0.2,326.25,326.25,0.23,0.23,13.71,13.71,300.11,302.82,208.59,302.82,1.47,1.26,0.1,1.26,8.93,6.9,12.49,6.9,249.15,251.26,249.15,7.54,7.4,7.54
2022-05-31T17:00:00+00:00,22.42,22.42,30.75,30.75,0.16,0.16,68.2,68.2,0.0,0.0,-0.2,-0.2,326.5,326.5,0.25,0.25,13.57,13.57,296.71,302.44,208.1,302.44,1.55,1.3,0.1,1.3,8.71,6.93,12.45,6.93,255.4,260.22,255.4,6.52,6.18,6.52
2022-05-31T18:00:00+00:00,21.8,21.8,31.54,31.54,0.17,0.17,72.2,72.2,0.0,0.0,-0.2,-0.2,326.74,326.74,0.27,0.27,13.44,13.44,293.3,302.07,207.6,302.07,1.63,1.34,0.1,1.34,8.49,6.97,12.4,6.97,261.64,269.17,261.64,5.5,4.95,5.5
2022-05-31T19:00:00+00:00,21.19,21.19,32.14,32.14,0.17,0.17,75.67,75.67,0.0,0.0,-0.2,-0.2,326.25,326.25,0.29,0.29,13.29,13.29,294.46,300.85,207.07,300.85,1.63,1.34,0.1,1.34,8.6,6.87,12.26,6.87,258.69,279.41,258.69,4.23,3.68,4.23
2022-05-31T20:00:00+00:00,20.58,20.58,33.07,33.07,0.17,0.17,79.13,79.13,0.0,0.0,-0.2,-0.2,325.77,325.77,0.32,0.32,13.13,13.13,295.62,299.63,206.55,299.63,1.62,1.35,0.09,1.35,8.7,6.77,12.13,6.77,255.74,289.64,255.74,2.95,2.41,2.95
2022-05-31T21:00:00+00:00,19.97,19.97,33.8,33.8,0.17,0.17,82.6,82.6,0.0,0.0,-0.2,-0.2,325.28,325.28,0.34,0.34,12.98,12.98,296.78,298.41,206.02,298.41,1.62,1.35,0.09,1.35,8.81,6.67,11.99,6.67,252.79,299.88,252.79,1.68,1.14,1.68
2022-05-31T22:00:00+00:00,19.83,19.83,34.63,34.63,0.18,0.18,83.33,83.33,0.0,0.0,-0.2,-0.2,325.12,325.12,0.36,0.36,12.78,12.78,297.49,298.05,209.63,298.05,1.61,1.36,0.11,1.36,8.88,6.66,11.06,6.66,235.36,320.5,235.36,1.55,1.01,1.55
2022-05-31T23:00:00+00:00,19.69,19.69,35.28,35.28,0.18,0.18,84.07,84.07,0.0,0.0,-0.2,-0.2,324.97,324.97,0.38,0.38,12.58,12.58,298.2,297.68,213.25,297.68,1.59,1.36,0.14,1.36,8.94,6.65,10.12,6.65,217.92,341.13,217.92,1.43,0.89,1.43
2022-06-01T00:00:00+00:00,19.55,19.55,240.91,240.91,0.17,0.17,84.8,84.8,0.0,0.0,-0.18,-0.18,324.81,324.81,0.4,0.4,12.38,12.38,298.91,297.32,216.86,297.32,1.58,1.37,0.16,1.37,9.01,6.64,9.19,6.64,200.49,1.75,200.49,1.3,0.76,1.3
2022-06-01T01:00:00+00:00,19.25,19.25,242.32,242.32,0.13,0.13,85.63,85.63,0.0,0.0,-0.18,-0.18,304.74,304.74,0.36,0.36,12.23,12.23,299.81,297.45,213.6,297.45,1.6,1.42,0.14,1.42,9.18,6.85,10.05,6.85,220.59,26.11,220.59,1.02,0.88,1.02
2022-06-01T02:00:00+00:00,18.95,18.95,242.1,242.1,0.08,0.08,86.47,86.47,0.0,0.0,-0.19,-0.19,284.67,284.67,0.33,0.33,12.07,12.07,300.72,297.58,210.33,297.58,1.63,1.48,0.11,1.48,9.34,7.07,10.9,7.07,240.7,50.48,240.7,0.74,1.01,0.74
2022-06-01T03:00:00+00:00,18.65,18.65,236.75,236.75,0.04,0.04,87.3,87.3,0.0,0.0,-0.19,-0.19,264.6,264.6,0.29,0.29,11.92,11.92,301.62,297.71,207.07,297.71,1.65,1.53,0.09,1.53,9.51,7.28,11.76,7.28,260.8,74.84,260.8,0.46,1.13,0.46
2022-06-01T04:00:00+00:00,18.43,18.43,204.9,204.9,0.02,0.02,88.1,88.1,0.0,0.0,-0.19,-0.19,263.06,263.06,0.36,0.36,12.09,12.09,302.51,299.65,207.51,299.65,1.73,1.67,0.09,1.67,9.77,7.74,11.75,7.74,259.3,61.33,259.3,0.48,1.2,0.48
2022-06-01T05:00:00+00:00,18.21,18.21,130.82,130.82,0.02,0.02,88.9,88.9,0.0,0.0,-0.19,-0.19,261.51,261.51,0.43,0.43,12.26,12.26,303.41,301.6,207.96,301.6,1.8,1.81,0.08,1.81,10.02,8.19,11.73,8.19,257.81,47.83,257.81,0.49,1.27,0.49
2022-06-01T06:00:00+00:00,18.0,18.0,107.59,107.59,0.03,0.03,89.7,89.7,0.0,0.0,-0.19,-0.19,259.97,259.97,0.5,0.5,12.43,12.43,304.3,303.54,208.4,303.54,1.88,1.95,0.08,1.95,10.28,8.65,11.72,8.65,256.31,34.32,256.31,0.51,1.34,0.51
2022-06-01T07:00:00+00:00,18.94,18.94,99.46,99.46,0.03,0.03,84.5,84.5,0.01,0.01,-0.19,-0.19,295.4,295.4,0.37,0.37,11.05,11.05,304.77,303.66,241.28,303.66,1.98,2.08,0.72,2.08,10.46,8.84,11.91,8.84,257.57,25.27,257.57,0.74,1.73,0.74
2022-06-01T08:00:00+00:00,19.89,19.89,96.34,96.34,0.03,0.03,79.3,79.3,0.01,0.01,-0.19,-0.19,330.82,330.82,0.25,0.25,9.66,9.66,305.24,303.79,274.15,303.79,2.07,2.2,1.35,2.2,10.63,9.02,12.11,9.02,258.84,16.23,258.84,0.98,2.11,0.98
2022-06-01T09:00:00+00:00,20.83,20.83,88.26,88.26,0.02,0.02,74.1,74.1,0.01,0.01,-0.19,-0.19,6.25,6.25,0.12,0.12,8.28,8.28,305.71,303.91,307.03,303.91,2.17,2.33,1.99,2.33,10.81,9.21,12.3,9.21,260.1,7.18,260.1,1.21,2.5,1.21
